label,note
Hierarchical Data Format,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
High Level Political Forum (of UN),https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Human Technology Interface,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Humanitarian OpenStreetMap Team,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
IEEE Geoscience and Remote Sensing Society,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
IEEE Geoscience and Remote Sensing Society,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Implementation Standard,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
IndoorGML,Note to entry: Standardized by the OGC IndoorGML Standards Working Group.
Information Communities and Semantics,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Infrastructure for Spatial Information in Europe,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Integrated Justice Information Systems (IJIS) Institute,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Intellectual Property,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Intellectual Property Rights,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
International Cartographic Association,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
International Council for Science â€“ World Data System,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
International Hydrographic Office,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
International Modeling & Software Society Secretariat,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
International Organization for Standardization,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
International Organization for Standardization,Note to entry: See http://www.iso.org
International Society for Photogrammetry and Remote Sensing,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
International Standard,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
International Telecommunication Union,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Internet Engineering Task Force,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Internet Society,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Interoperability Experiment,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Interoperability Program,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Interoperability Program Team,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Japan Aerospace Exploration Agency,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Java Advanced Imaging,"Note to entry: JAI allows developers to create their own image manipulation routines without the additional cost or licensing restrictions, associated with commercial image processing software."
Java Database Connectivity,"Note to entry: JDBC supports SQL databases and other tabular data sources, such as spreadsheets or flat files."
Java Messaging Service.,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Joint Advisory Committee between OGC and ISO TC 211,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Joint Photographics Group,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Joint Photographics Group,Note to entry: Additionally a reference to a common image compression method
Keyhole Markup Language,"Note to entry: The name originates from the company which developed the technology, originally named “Keyhole”."
Law Enforcement and Public Safety Domain Working Group,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Level Of Detail,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Light Detection and Ranging,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Local Organizing Committee,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Location Organizer Folder,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Location Services Domain Working Group,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Media and Information Literacy,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Memorandum of Understanding,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Mercator,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Mobile Location Services Domian Working Group - merger of Mass Market and Location Services DWGs,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Mortgage Information Standards Maintenance Organization,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
NEw Partnership for African Development,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
National Center for Atmospheric Research,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
National Center for Supercomputing Applications,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
National Elevation Dataset,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
National Geospatial Intelligence Agency,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
National Hydrologic Dataset,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
National Institute for Building Standards,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
National Institute of Standards and Technology,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
National Land Cover Dataset,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
National Mapping Agency,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
National Science Foundation,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
National Spatial Data Infrastructure,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Natural Resources and Environment,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Net Centric Operations Infrastructure Committee,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Neutral Transfer Format,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Neutral Transfer Format,Note to entry:  Within the UK
Non-Governmental Organization,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
North American Datum,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Architecture Board,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Australasia,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Catalog Domain Working Group,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Catalog Revision Standards Working Group,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Catalogue Service Interface Standard,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC City Geography Markup Language (CityGML) Encoding Standard,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Coordinate Transformation Encoding Standard,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Coordinate Transformation Standards Working Group,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Europe,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Filter Encoding Standard,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Georeferenced Table Joining Service Encoding Standard,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Geospatial eXtensible Access Control Markup Language Standard,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Geosync SWG,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Iberian and Latin-American Forum,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Location Services,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Marketing & Communications Program,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Met Ocean DWG,Note to entry:  the group exists in the Open Geospatial Consortium (OGC)
OGC Military Pilot Project,Note to entry:  Open Geospatial Consortium (OGC) Project from 2001
OGC Observations and Measurements Encoding Standard,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Sensor Model Language Encoding Standard,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Sensor Observation Service Interface Standard,Note to entry:  Specification developed by OGC
OGC Sensor Web Enablement activity,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Simple Features for SQL,Note to entry:  An OGC specification
OGC Simple FeaturesSQL Encoding Standard,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Strategic Member Advisory Committee,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Transducer Markup Language Encoding Standard (retired),https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Web Coordinate Transformation Service Interface Standard,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Web Coverage Processing Service Interface Standard,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Web Coverage Service Interface Standard,Note to entry:  Defines an interface for reading and writing geospatial data as “coverages” across the web. The Web Coverage Service provides an interface allowing requests for geographical coverages across the web using platform-independent calls. The coverages are objects (or images) in a geographical area
OGC Web Feature Service Interface Standard,Note to entry:  The Web Feature Service (WFS) specification from the Open Geospatial Consortium defines an interface for reading and writing geographic features across the web using platform-independent calls. One can think of geographical features as the “source code” behind a map.
OGC Web Map Service Interface Standard,Note to entry:  The Web Map Service is a standard protocol for serving georeferenced map images over the Internet that are generated by a map server using data from a GIS database. The specification was developed and first published by the Open Geospatial Consortium in 1999.
OGC Web Map Tile Service Interface Standard,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Web Processing Service Interface Standard,"Note to entry:  The Web Processing Service is designed to standardize the way that GIS calculations are made available to the Internet. WPS can describe any calculation (i.e. process) including all of its inputs and outputs, and trigger its execution as a Web Service."
OGC Web Service Common Interface Standard,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Web Services,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC Web Services Common,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGC's Multi-Hazard Mapping Initiative (MMI) Phase I (2001),https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OGR is the vector data access portion of the GDAL library. It provides access to a multitude of data formats.,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OWS Common 1.2 SWG,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OWS Context SWG,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Object Linking and Embedding/Common Object Model (Microsoft),https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Object Management Group,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Object Oriented,Note to entry:  Here an object can be defined as a data field that has unique attributes and behavior.
Office of Spatial Data Management,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Open Archive Initiative Protocol for Metadata Harvesting,Note to entry:  Developed by the Open Archives Initiative.
Open Educational Resources,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Open Grid Forum,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Open Mobile Alliance,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Open Standards Consortium for Real Estate,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
OpenStreetMap,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Ordering Services Framework for Earth Observation Products,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Orfeo Tool Box,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Organisation for Economic Co-Operation and Development,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Organization for the Advancement of Structured Information Standards,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
PROJ,Note 1 to entry:  The software also performs cartographic projections as well as geodetic transformations
PROJ,Note 2 to entry:  PROJ (formerly referred to as PROJ.4)
Pan American Institute of Geography and History,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Planning Committee,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Policies and Procedures,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Portable Network Graphic,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Public Participation in Geographic Information Systems,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Public Participation in Scientific Research,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
REpresentational State Transfer programming style,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
"REpresentational State Transfer. An open, resource-oriented model for implementing Web services.",https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Reference Model for Open Distributed Processing,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Regional Centre for Mapping of Resources for Development,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Regional Universities Forum for capacity building in agriculture,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Remote Procedure Call,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Request for Comment,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Request for Information,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Request for Participation,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Request for Proposals,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Request for Technology,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Research Data Alliance,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Research and Technology Development (Europe),https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Risk and Crisis Management,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Russian Federal Service for Hydrometeorologyand Enviromental Monitoring,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
SP,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
SPIDER,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
SQL Multimedia and Application Packages,Note to entry:  ISO/IEC 13249: SQL Multimedia and Application Packages (SQL/MM)
Scalable Vector Graphics,Note to entry:  Frequently used in browser and mobile devices. See http://en.wikipedia.org/wiki/Scalable_Vector_Graphics
Science Technology Innovation Strategy for Africa,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Sensor Web Enablement Common Data Model,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Sensors Anywhere Consortium,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Services Oriented Architecture,Note to entry:  A SOA infrastructure allows different applications to exchange data with one another.
Shapefile,Note to entry:  Originally developed by ESRI and widely support by many software projects.
Shockwave Flash format,Note to entry:  MapServer can generate output in SWF.
Short Term Scientific Missions,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Simple Features,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Simple Features CORBA,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Simple Features OLE/COM,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Simple Knowledge Organisation Systems,"Note to entry:  Many knowledge organization systems, such as thesauri, taxonomies, classification schemes and subject heading systems, share a similar structure, and are used in similar applications. SKOS captures much of this similarity and makes it explicit, to enable data and technology sharing across diverse applications."
Simplified Wrapper Interface Generator,Note to entry:  MapScript describes these bindings.
Small or Medium Sized Enterprise,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Software as a Service,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Spatial Data Transfer Standard,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Special Activity Airspace Pilot,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Special Interest Group,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Standard Interchange Format,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Standards Working Group,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Standards based Commercial Off-The-Shelf software,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Structured Query Language,Note to entry:  See http://en.wikipedia.org/wiki/SQL
Styled Layer Descriptor,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Sustainable Development Goal,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Symbology Encoding,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Synthetic Aperture Radar,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Tagged Image File Format,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Taxonomic Data Working Group,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Technical Committee,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Technical Committee Policies and Procedures,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Test Driven Development.,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
"Test, Evaluation, And Measurement Engine",https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
The Council of European Geodetic Surveyors,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Triangulated Irregular Network,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
U.S. Geological Survey,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Unified Modeling Language,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
United Nations Global Geospatial Information Management,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Univ DWG,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
"Universal Description, Discovery, and Integration",https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Universally Unique Identifier,Note to entry:  also referred to as a globally unique identifier
University Corporation for Atmospheric Research,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Unmanned Aerial Vehicle,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Vector Product Format,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Virtual Reality,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
Volunteered Geographic Information,https://osgeo.geolexica.org/api/osgeo-note#DefnTransUnavail
