label,id,term
conformance clause,73,https://isotc211.geolexica.org/api/concepts#conformance_clause
conformance quality level,74,https://isotc211.geolexica.org/api/concepts#conformance_quality_level
conformance test report,75,https://isotc211.geolexica.org/api/concepts#conformance_test_report
conformance testing,76,https://isotc211.geolexica.org/api/concepts#conformance_testing
conforming implementation,77,https://isotc211.geolexica.org/api/concepts#conforming_implementation
connected,78,https://isotc211.geolexica.org/api/concepts#connected
connected node,79,https://isotc211.geolexica.org/api/concepts#connected_node
constraint (UML),81,https://isotc211.geolexica.org/api/concepts#constraintUML
content model,82,https://isotc211.geolexica.org/api/concepts#content_model
continuous coverage,83,https://isotc211.geolexica.org/api/concepts#continuous_coverage
control body,84,https://isotc211.geolexica.org/api/concepts#control_body
conversion rule,85,https://isotc211.geolexica.org/api/concepts#conversion_rule
convex hull,86,https://isotc211.geolexica.org/api/concepts#convex_hull
convex set,87,https://isotc211.geolexica.org/api/concepts#convex_set
coordinate,88,https://isotc211.geolexica.org/api/concepts#coordinate
coordinate dimension,90,https://isotc211.geolexica.org/api/concepts#coordinate_dimension
coordinate operation,91,https://isotc211.geolexica.org/api/concepts#coordinate_operation
coordinate system,93,https://isotc211.geolexica.org/api/concepts#coordinate_system
Coordinated Universal Time (UTC),96,https://isotc211.geolexica.org/api/concepts#Coordinated_Universal_Time
cost function,97,https://isotc211.geolexica.org/api/concepts#cost_function
coverage,99,https://isotc211.geolexica.org/api/concepts#coverage
coverage geometry,100,https://isotc211.geolexica.org/api/concepts#coverage_geometry
curve,101,https://isotc211.geolexica.org/api/concepts#curve
curve segment,102,https://isotc211.geolexica.org/api/concepts#curve_segment
cycle (geometry),103,https://isotc211.geolexica.org/api/concepts#cycle_geometry
data,104,https://isotc211.geolexica.org/api/concepts#data
data element,105,https://isotc211.geolexica.org/api/concepts#data_element
data interchange,107,https://isotc211.geolexica.org/api/concepts#data_interchange
data level,108,https://isotc211.geolexica.org/api/concepts#data_level
data product,110,https://isotc211.geolexica.org/api/concepts#data_product
data product specification,111,https://isotc211.geolexica.org/api/concepts#data_product_specification
data quality date,112,https://isotc211.geolexica.org/api/concepts#data_quality_date
data quality element,113,https://isotc211.geolexica.org/api/concepts#data_quality_element
data quality evaluation procedure,114,https://isotc211.geolexica.org/api/concepts#data_quality_eval_procedure
data quality measure,115,https://isotc211.geolexica.org/api/concepts#data_quality_measure
data quality overview element,116,https://isotc211.geolexica.org/api/concepts#data_quality_over_element
data quality result,117,https://isotc211.geolexica.org/api/concepts#data_quality_result
data quality scope,118,https://isotc211.geolexica.org/api/concepts#data_quality_scope
data quality subelement,119,https://isotc211.geolexica.org/api/concepts#data_quality_subelement
data quality value type,120,https://isotc211.geolexica.org/api/concepts#data_quality_value_type
data quality value unit,121,https://isotc211.geolexica.org/api/concepts#data_quality_value_unit
data transfer,122,https://isotc211.geolexica.org/api/concepts#data_transfer
data type,123,https://isotc211.geolexica.org/api/concepts#data_type
dataset,124,https://isotc211.geolexica.org/api/concepts#dataset
dataset series,125,https://isotc211.geolexica.org/api/concepts#dataset_series
day,127,https://isotc211.geolexica.org/api/concepts#day
definition,128,https://isotc211.geolexica.org/api/concepts#definition
Delaunay triangulation,129,https://isotc211.geolexica.org/api/concepts#Delaunay_triangulation
dependency (UML),130,https://isotc211.geolexica.org/api/concepts#dependencyUML
deprecated term,131,https://isotc211.geolexica.org/api/concepts#deprecated_term
Dijkstra graph,133,https://isotc211.geolexica.org/api/concepts#Dijkstra_graph
direct evaluation method,134,https://isotc211.geolexica.org/api/concepts#direct_eval_method
direct position,135,https://isotc211.geolexica.org/api/concepts#direct_position
directed edge,136,https://isotc211.geolexica.org/api/concepts#directed_edge
directed face,137,https://isotc211.geolexica.org/api/concepts#directed_face
directed node,138,https://isotc211.geolexica.org/api/concepts#directed_node
directed solid,139,https://isotc211.geolexica.org/api/concepts#directed_solid
directed topological object,140,https://isotc211.geolexica.org/api/concepts#directed_topo_object
discrete coverage,141,https://isotc211.geolexica.org/api/concepts#discrete_coverage
distribution transparency,143,https://isotc211.geolexica.org/api/concepts#distribution_transparency
domain,144,https://isotc211.geolexica.org/api/concepts#domain
easting,145,https://isotc211.geolexica.org/api/concepts#easting
edge,146,https://isotc211.geolexica.org/api/concepts#edge
edge-node graph,147,https://isotc211.geolexica.org/api/concepts#edge_node_graph
element (XML),148,https://isotc211.geolexica.org/api/concepts#elementXML
ellipsoid,149,https://isotc211.geolexica.org/api/concepts#ellipsoid
ellipsoid height,150,https://isotc211.geolexica.org/api/concepts#ellipsoid_height
encoding,151,https://isotc211.geolexica.org/api/concepts#encoding
encoding rule,152,https://isotc211.geolexica.org/api/concepts#encoding_rule
encoding service,153,https://isotc211.geolexica.org/api/concepts#encoding_service
end node,154,https://isotc211.geolexica.org/api/concepts#end_node
end point,155,https://isotc211.geolexica.org/api/concepts#end_point
engineering datum,156,https://isotc211.geolexica.org/api/concepts#engineering_datum
engineering viewpoint,157,https://isotc211.geolexica.org/api/concepts#engineering_viewpoint
enterprise viewpoint,158,https://isotc211.geolexica.org/api/concepts#enterprise_viewpoint
evaluation (coverage),159,https://isotc211.geolexica.org/api/concepts#evaluation_coverage
event,160,https://isotc211.geolexica.org/api/concepts#event
executable test case,161,https://isotc211.geolexica.org/api/concepts#executable_test_case
executable test suite,162,https://isotc211.geolexica.org/api/concepts#executable_test_suite
exterior,163,https://isotc211.geolexica.org/api/concepts#exterior
external function,164,https://isotc211.geolexica.org/api/concepts#external_function
face,165,https://isotc211.geolexica.org/api/concepts#face
fail verdict,166,https://isotc211.geolexica.org/api/concepts#fail_verdict
falsification test,167,https://isotc211.geolexica.org/api/concepts#falsification_test
feature,168,https://isotc211.geolexica.org/api/concepts#feature
feature association,169,https://isotc211.geolexica.org/api/concepts#feature_association
feature attribute,170,https://isotc211.geolexica.org/api/concepts#feature_attribute
feature division,174,https://isotc211.geolexica.org/api/concepts#feature_division
feature fusion,175,https://isotc211.geolexica.org/api/concepts#feature_fusion
feature operation,177,https://isotc211.geolexica.org/api/concepts#feature_operation
feature portrayal rule set,178,https://isotc211.geolexica.org/api/concepts#feature_portrayal_rule_set
feature substitution,180,https://isotc211.geolexica.org/api/concepts#feature_substitution
feature succession,181,https://isotc211.geolexica.org/api/concepts#feature_succession
feature table,182,https://isotc211.geolexica.org/api/concepts#feature_table
file,186,https://isotc211.geolexica.org/api/concepts#file
flattening,187,https://isotc211.geolexica.org/api/concepts#flattening
framework,188,https://isotc211.geolexica.org/api/concepts#framework
full inspection,189,https://isotc211.geolexica.org/api/concepts#full_inspection
function,190,https://isotc211.geolexica.org/api/concepts#function
functional language,191,https://isotc211.geolexica.org/api/concepts#functional_language
functional standard,192,https://isotc211.geolexica.org/api/concepts#functional_standard
gazetteer,193,https://isotc211.geolexica.org/api/concepts#gazetteer
geocoding,195,https://isotc211.geolexica.org/api/concepts#geocoding
geodetic coordinate system,196,https://isotc211.geolexica.org/api/concepts#geodetic_coord_system
geodetic height,199,https://isotc211.geolexica.org/api/concepts#geodetic_height
geodetic latitude,200,https://isotc211.geolexica.org/api/concepts#geodetic_latitude
geodetic longitude,201,https://isotc211.geolexica.org/api/concepts#geodetic_longitude
geographic data,202,https://isotc211.geolexica.org/api/concepts#geographic_data
geographic feature,203,https://isotc211.geolexica.org/api/concepts#geographic_feature
geographic identifier,204,https://isotc211.geolexica.org/api/concepts#geographic_identifier
geographic information,205,https://isotc211.geolexica.org/api/concepts#geographic_information
geographic information service,206,https://isotc211.geolexica.org/api/concepts#geographic_info_service
geographic information system,207,https://isotc211.geolexica.org/api/concepts#geographic_info_system
geometric aggregate,210,https://isotc211.geolexica.org/api/concepts#geometric_aggregate
geometric boundary,211,https://isotc211.geolexica.org/api/concepts#geometric_boundary
geometric complex,212,https://isotc211.geolexica.org/api/concepts#geometric_complex
geometric dimension,213,https://isotc211.geolexica.org/api/concepts#geometric_dimension_1
geometric object,214,https://isotc211.geolexica.org/api/concepts#geometric_object
geometric primitive,215,https://isotc211.geolexica.org/api/concepts#geometric_primitive
geometric realization,216,https://isotc211.geolexica.org/api/concepts#geometric_realization
geometric set,217,https://isotc211.geolexica.org/api/concepts#geometric_set
gravity-related height,218,https://isotc211.geolexica.org/api/concepts#gravity_related_height
geometry property,219,https://isotc211.geolexica.org/api/concepts#geometry_property
Gregorian calendar,220,https://isotc211.geolexica.org/api/concepts#Gregorian_calendar
grid,221,https://isotc211.geolexica.org/api/concepts#grid
grid coordinates,222,https://isotc211.geolexica.org/api/concepts#grid_coordinates
grid point,223,https://isotc211.geolexica.org/api/concepts#grid_point
gridded data,224,https://isotc211.geolexica.org/api/concepts#gridded_data
homomorphism,228,https://isotc211.geolexica.org/api/concepts#homomorphism
image point,232,https://isotc211.geolexica.org/api/concepts#image_point
implementation,235,https://isotc211.geolexica.org/api/concepts#implementation
Implementation Conformance Statement,236,https://isotc211.geolexica.org/api/concepts#Implement_Conform_Statement
Implementation eXtra Information for Testing,237,https://isotc211.geolexica.org/api/concepts#Implemen_eXtra_Info_Testing
inconclusive verdict,238,https://isotc211.geolexica.org/api/concepts#inconclusive_verdict
indirect evaluation method,239,https://isotc211.geolexica.org/api/concepts#indirect_eval_method
inertial positioning system,240,https://isotc211.geolexica.org/api/concepts#inert_position_system
information,241,https://isotc211.geolexica.org/api/concepts#information
information viewpoint,242,https://isotc211.geolexica.org/api/concepts#information_viewpoint
inheritance (UML),243,https://isotc211.geolexica.org/api/concepts#inheritance
instance,244,https://isotc211.geolexica.org/api/concepts#instance
instance model,246,https://isotc211.geolexica.org/api/concepts#instance_model
instant,247,https://isotc211.geolexica.org/api/concepts#instant
instantiate,248,https://isotc211.geolexica.org/api/concepts#instantiate
integrated positioning system,250,https://isotc211.geolexica.org/api/concepts#integrated_position_system
interface,251,https://isotc211.geolexica.org/api/concepts#interface
interface (UML),252,https://isotc211.geolexica.org/api/concepts#interfaceUML
interior,254,https://isotc211.geolexica.org/api/concepts#interior
interoperability,255,https://isotc211.geolexica.org/api/concepts#interoperability
interval scale,256,https://isotc211.geolexica.org/api/concepts#interval_scale
inverse evaluation (coverage),257,https://isotc211.geolexica.org/api/concepts#inverse_evaluation
isolated node,258,https://isotc211.geolexica.org/api/concepts#isolated_node
isomorphism,259,https://isotc211.geolexica.org/api/concepts#isomorphism
item,260,https://isotc211.geolexica.org/api/concepts#item
item class,261,https://isotc211.geolexica.org/api/concepts#item_class
Julian date,263,https://isotc211.geolexica.org/api/concepts#Julian_date
Julian day number,264,https://isotc211.geolexica.org/api/concepts#Julian_day_number
junction,265,https://isotc211.geolexica.org/api/concepts#junction
language identifier,266,https://isotc211.geolexica.org/api/concepts#language_identifier
layer,267,https://isotc211.geolexica.org/api/concepts#layer
lexical language,268,https://isotc211.geolexica.org/api/concepts#lexical_language
life span,269,https://isotc211.geolexica.org/api/concepts#life_span
line string,270,https://isotc211.geolexica.org/api/concepts#line_string
linear positioning system,271,https://isotc211.geolexica.org/api/concepts#linear_posit_system
linear reference system,272,https://isotc211.geolexica.org/api/concepts#linear_reference_system
linear referencing system,273,https://isotc211.geolexica.org/api/concepts#linear_referencing_system
link,274,https://isotc211.geolexica.org/api/concepts#link
link position,275,https://isotc211.geolexica.org/api/concepts#link_position
location,276,https://isotc211.geolexica.org/api/concepts#location
location based service,278,https://isotc211.geolexica.org/api/concepts#location_based_service
location dependent service,279,https://isotc211.geolexica.org/api/concepts#location_dependent_service
main-road rule,280,https://isotc211.geolexica.org/api/concepts#main_road_rule
"maneuver, manœuvre",281,https://isotc211.geolexica.org/api/concepts#maneuver_manœuvre
map,282,https://isotc211.geolexica.org/api/concepts#map
mean sea level,284,https://isotc211.geolexica.org/api/concepts#mean_sea_level
measure (GML),286,https://isotc211.geolexica.org/api/concepts#measureGML
medium,287,https://isotc211.geolexica.org/api/concepts#medium
metadata,289,https://isotc211.geolexica.org/api/concepts#metadata
metadata element,290,https://isotc211.geolexica.org/api/concepts#metadata_element
metadata entity,291,https://isotc211.geolexica.org/api/concepts#metadata_entity
metadata schema,292,https://isotc211.geolexica.org/api/concepts#metadata_schema
metadata section,293,https://isotc211.geolexica.org/api/concepts#metadata_section
metamodel (UML),294,https://isotc211.geolexica.org/api/concepts#metamodelUML
method (UML),295,https://isotc211.geolexica.org/api/concepts#methodUML
model,299,https://isotc211.geolexica.org/api/concepts#model
month,300,https://isotc211.geolexica.org/api/concepts#month
motion,301,https://isotc211.geolexica.org/api/concepts#motion
multiplicity (UML),304,https://isotc211.geolexica.org/api/concepts#multiplicityUML
navigation,306,https://isotc211.geolexica.org/api/concepts#navigation
neighbourhood,307,https://isotc211.geolexica.org/api/concepts#neighbourhood
network,308,https://isotc211.geolexica.org/api/concepts#network
node,309,https://isotc211.geolexica.org/api/concepts#node
non-conformance,310,https://isotc211.geolexica.org/api/concepts#non_conformance
northing,311,https://isotc211.geolexica.org/api/concepts#northing
object,312,https://isotc211.geolexica.org/api/concepts#object
object (UML),313,https://isotc211.geolexica.org/api/concepts#objectUML
obsolete term,315,https://isotc211.geolexica.org/api/concepts#obsolete_term
open systems environment,316,https://isotc211.geolexica.org/api/concepts#open_systems_enviro
operating conditions,317,https://isotc211.geolexica.org/api/concepts#operating_conditions
operation,318,https://isotc211.geolexica.org/api/concepts#operation
operation (UML),319,https://isotc211.geolexica.org/api/concepts#operationUML
optical positioning system,320,https://isotc211.geolexica.org/api/concepts#optical_posit_system
ordinal era,321,https://isotc211.geolexica.org/api/concepts#ordinal_era
ordinal scale,322,https://isotc211.geolexica.org/api/concepts#ordinal_scale
ordinal temporal reference system,323,https://isotc211.geolexica.org/api/concepts#ordinal_temp_ref_system
package (UML),325,https://isotc211.geolexica.org/api/concepts#packageUML
pass verdict,326,https://isotc211.geolexica.org/api/concepts#pass_verdict
performance indicator,328,https://isotc211.geolexica.org/api/concepts#performance_indicator
performance testing,329,https://isotc211.geolexica.org/api/concepts#performance_testing
period,330,https://isotc211.geolexica.org/api/concepts#period
periodic time,331,https://isotc211.geolexica.org/api/concepts#periodic_time
physical quantity,333,https://isotc211.geolexica.org/api/concepts#physical_quantity
planar topological complex,335,https://isotc211.geolexica.org/api/concepts#planar_topo_complex
point,336,https://isotc211.geolexica.org/api/concepts#point
point coverage,337,https://isotc211.geolexica.org/api/concepts#point_coverage
polygon coverage,340,https://isotc211.geolexica.org/api/concepts#polygon_coverage
population,341,https://isotc211.geolexica.org/api/concepts#population
portrayal,342,https://isotc211.geolexica.org/api/concepts#portrayal
portrayal catalogue,343,https://isotc211.geolexica.org/api/concepts#portrayal_catalogue
portrayal rule,344,https://isotc211.geolexica.org/api/concepts#portrayal_rule
portrayal service,345,https://isotc211.geolexica.org/api/concepts#portrayal_service
portrayal specification,346,https://isotc211.geolexica.org/api/concepts#portrayal_specification
position,347,https://isotc211.geolexica.org/api/concepts#position
positional accuracy,348,https://isotc211.geolexica.org/api/concepts#positional_accuracy
positional system,349,https://isotc211.geolexica.org/api/concepts#positional_system
precision,350,https://isotc211.geolexica.org/api/concepts#precision
preferred term,351,https://isotc211.geolexica.org/api/concepts#preferred_term
prime meridian,352,https://isotc211.geolexica.org/api/concepts#prime_meridian
product specification,355,https://isotc211.geolexica.org/api/concepts#product_specification
profile,356,https://isotc211.geolexica.org/api/concepts#profile
quality,359,https://isotc211.geolexica.org/api/concepts#quality
quality schema,360,https://isotc211.geolexica.org/api/concepts#quality_schema
range (coverage),363,https://isotc211.geolexica.org/api/concepts#range_coverage
raster,364,https://isotc211.geolexica.org/api/concepts#raster
record,366,https://isotc211.geolexica.org/api/concepts#record
rectified grid,367,https://isotc211.geolexica.org/api/concepts#rectified_grid
reference data,368,https://isotc211.geolexica.org/api/concepts#reference_data
referenceable grid,369,https://isotc211.geolexica.org/api/concepts#referenceable_grid
refinement (UML),370,https://isotc211.geolexica.org/api/concepts#refinementUML
register,371,https://isotc211.geolexica.org/api/concepts#register
register owner,372,https://isotc211.geolexica.org/api/concepts#register_owner
registration,373,https://isotc211.geolexica.org/api/concepts#registration
registry,375,https://isotc211.geolexica.org/api/concepts#registry
relationship (UML),376,https://isotc211.geolexica.org/api/concepts#relationshipUML
relative position,377,https://isotc211.geolexica.org/api/concepts#relative_position
relative positional accuracy,378,https://isotc211.geolexica.org/api/concepts#relative_positional_accuracy
remote sensing,379,https://isotc211.geolexica.org/api/concepts#remote_sensing
request,380,https://isotc211.geolexica.org/api/concepts#request
resource,383,https://isotc211.geolexica.org/api/concepts#resource
response,384,https://isotc211.geolexica.org/api/concepts#response
ring,385,https://isotc211.geolexica.org/api/concepts#ring
robustness testing,386,https://isotc211.geolexica.org/api/concepts#robustness_testing
route,387,https://isotc211.geolexica.org/api/concepts#route
route instruction,389,https://isotc211.geolexica.org/api/concepts#route_instruction
route traversal,390,https://isotc211.geolexica.org/api/concepts#route_traversal
routing,391,https://isotc211.geolexica.org/api/concepts#routing
satellite positioning system,392,https://isotc211.geolexica.org/api/concepts#satellite_posit_system
schema,395,https://isotc211.geolexica.org/api/concepts#schema
schema model,396,https://isotc211.geolexica.org/api/concepts#schema_model
segment,397,https://isotc211.geolexica.org/api/concepts#segment
semantic type,398,https://isotc211.geolexica.org/api/concepts#semantic_type
sequence,403,https://isotc211.geolexica.org/api/concepts#sequence
server,404,https://isotc211.geolexica.org/api/concepts#server
service,405,https://isotc211.geolexica.org/api/concepts#service
service chain,406,https://isotc211.geolexica.org/api/concepts#service_chain
service interface,407,https://isotc211.geolexica.org/api/concepts#service_interface
service metadata,408,https://isotc211.geolexica.org/api/concepts#service_metadata
set,409,https://isotc211.geolexica.org/api/concepts#set
shell,410,https://isotc211.geolexica.org/api/concepts#shell
simple,411,https://isotc211.geolexica.org/api/concepts#simple
simple feature,412,https://isotc211.geolexica.org/api/concepts#simple_feature
slope,415,https://isotc211.geolexica.org/api/concepts#slope
solid,416,https://isotc211.geolexica.org/api/concepts#solid
source reference,417,https://isotc211.geolexica.org/api/concepts#source_reference
spatial attribute,418,https://isotc211.geolexica.org/api/concepts#spatial_attribute
spatial object,419,https://isotc211.geolexica.org/api/concepts#spatial_object
spatial operator,420,https://isotc211.geolexica.org/api/concepts#spatial_operator
spatial reference,421,https://isotc211.geolexica.org/api/concepts#spatial_reference
spatial reference system,422,https://isotc211.geolexica.org/api/concepts#spatial_reference_system
spatiotemporal domain <coverage>,423,https://isotc211.geolexica.org/api/concepts#spatiotemp_domain_coverage
spatiotemporal object,424,https://isotc211.geolexica.org/api/concepts#spatiotemp_object
specification (UML),425,https://isotc211.geolexica.org/api/concepts#specificationUML
start node,428,https://isotc211.geolexica.org/api/concepts#start_node
start point,429,https://isotc211.geolexica.org/api/concepts#start_point
stereotype (UML),432,https://isotc211.geolexica.org/api/concepts#stereotypeUML
strong substitutability,433,https://isotc211.geolexica.org/api/concepts#strong_substitutability
subcomplex,434,https://isotc211.geolexica.org/api/concepts#subcomplex
submitting organization,435,https://isotc211.geolexica.org/api/concepts#submitting_organization
subregister,436,https://isotc211.geolexica.org/api/concepts#subregister
surface,437,https://isotc211.geolexica.org/api/concepts#surface
surface patch,438,https://isotc211.geolexica.org/api/concepts#surface_patch
System Under Test,440,https://isotc211.geolexica.org/api/concepts#System_Under_Test
tag (XML),441,https://isotc211.geolexica.org/api/concepts#tagXML
tagged value (XML),442,https://isotc211.geolexica.org/api/concepts#tagged_value_XML
technical standard,443,https://isotc211.geolexica.org/api/concepts#technical_standard
technology viewpoint,444,https://isotc211.geolexica.org/api/concepts#technology_viewpoint
temporal coordinate,445,https://isotc211.geolexica.org/api/concepts#temporal_coordinate
temporal coordinate system,446,https://isotc211.geolexica.org/api/concepts#temporal_coordinate_system
temporal feature association,447,https://isotc211.geolexica.org/api/concepts#temporal_feature_association
temporal feature operation,448,https://isotc211.geolexica.org/api/concepts#temporal_feature_operation
temporal position,449,https://isotc211.geolexica.org/api/concepts#temporal_position
temporal reference system,450,https://isotc211.geolexica.org/api/concepts#temporal_reference_system
term,451,https://isotc211.geolexica.org/api/concepts#term
term equivalent,452,https://isotc211.geolexica.org/api/concepts#term_equivalent
term instance classification,453,https://isotc211.geolexica.org/api/concepts#term_instance_classification
terminological record,455,https://isotc211.geolexica.org/api/concepts#terminological_record
tessellation,457,https://isotc211.geolexica.org/api/concepts#tessellation
testing laboratory,458,https://isotc211.geolexica.org/api/concepts#testing_laboratory
Thiessen polygon,460,https://isotc211.geolexica.org/api/concepts#Thiessen_polygon
topological boundary,461,https://isotc211.geolexica.org/api/concepts#topological_boundary
topological complex,462,https://isotc211.geolexica.org/api/concepts#topological_complex
topological dimension,463,https://isotc211.geolexica.org/api/concepts#topological_dimension
topological expression,465,https://isotc211.geolexica.org/api/concepts#topological_expression
topological object,466,https://isotc211.geolexica.org/api/concepts#topological_object
topological primitive,467,https://isotc211.geolexica.org/api/concepts#topological_primitive
topological solid,468,https://isotc211.geolexica.org/api/concepts#topological_solid
tracking,470,https://isotc211.geolexica.org/api/concepts#tracking
transaction time,471,https://isotc211.geolexica.org/api/concepts#transaction_time
transfer protocol,473,https://isotc211.geolexica.org/api/concepts#transfer_protocol
traversable,474,https://isotc211.geolexica.org/api/concepts#traversable
traversal order,475,https://isotc211.geolexica.org/api/concepts#traversal_order
triangulated irregular network,476,https://isotc211.geolexica.org/api/concepts#triangulated_irregular_network
tuple,477,https://isotc211.geolexica.org/api/concepts#tuple
turn,478,https://isotc211.geolexica.org/api/concepts#turn
uncertainty,480,https://isotc211.geolexica.org/api/concepts#uncertainty
Uniform Resource Identifier,481,https://isotc211.geolexica.org/api/concepts#Uniform_Resource_Identifier
unit of measure,483,https://isotc211.geolexica.org/api/concepts#unit_of_measure
universal face,484,https://isotc211.geolexica.org/api/concepts#universal_face
universal solid,485,https://isotc211.geolexica.org/api/concepts#universal_solid
universe of discourse,486,https://isotc211.geolexica.org/api/concepts#universe_of_discourse
valid time,487,https://isotc211.geolexica.org/api/concepts#valid_time
value (UML),489,https://isotc211.geolexica.org/api/concepts#valueUML
value domain,490,https://isotc211.geolexica.org/api/concepts#value_domain
vector,491,https://isotc211.geolexica.org/api/concepts#vector
vector geometry,492,https://isotc211.geolexica.org/api/concepts#vector_geometry
vehicle classification,493,https://isotc211.geolexica.org/api/concepts#vehicle_classification
verification test,495,https://isotc211.geolexica.org/api/concepts#verification_test
viewpoint (on a system),497,https://isotc211.geolexica.org/api/concepts#viewpoint_system
waypoint,498,https://isotc211.geolexica.org/api/concepts#waypoint
workflow,499,https://isotc211.geolexica.org/api/concepts#workflow
local datum,501,https://isotc211.geolexica.org/api/concepts#local_datum
ellipsoidal coordinate system,502,https://isotc211.geolexica.org/api/concepts#ellipsoid_coord_system
ellipsoidal latitude,503,https://isotc211.geolexica.org/api/concepts#ellipsoid_latitude
ellipsoidal longitude,504,https://isotc211.geolexica.org/api/concepts#ellipsoid_longitude
zero meridian,505,https://isotc211.geolexica.org/api/concepts#zero_meridian
clarification,506,https://isotc211.geolexica.org/api/concepts#clarification
locale,507,https://isotc211.geolexica.org/api/concepts#locale
register manager,508,https://isotc211.geolexica.org/api/concepts#register_manager
retirement,509,https://isotc211.geolexica.org/api/concepts#retirement
supersession,510,https://isotc211.geolexica.org/api/concepts#supersession
object point,518,https://isotc211.geolexica.org/api/concepts#object_point
objective,519,https://isotc211.geolexica.org/api/concepts#objective
principal point of best symmetry,521,https://isotc211.geolexica.org/api/concepts#principal_point_symmetry
attribute (XML),532,https://isotc211.geolexica.org/api/concepts#attributeXML
property (GML),534,https://isotc211.geolexica.org/api/concepts#propertyGML
principal register,535,https://isotc211.geolexica.org/api/concepts#principal_register
image,551,https://isotc211.geolexica.org/api/concepts#image
knowledge base,558,https://isotc211.geolexica.org/api/concepts#knowledge_base
measurand,559,https://isotc211.geolexica.org/api/concepts#measurand
measurement,560,https://isotc211.geolexica.org/api/concepts#measurement
radiant energy,572,https://isotc211.geolexica.org/api/concepts#radiant_energy
affine coordinate system,598,https://isotc211.geolexica.org/api/concepts#affine_coordinate_system
concatenated operation,600,https://isotc211.geolexica.org/api/concepts#concatenated_operation
