Language family,ISO language name,Native name (endonym),639-1,639-2/T,639-2/T uppercase,639-2/B,639-2/B uppercase
Indo-European,Nepali,नेपाली,ne,nep,NEP,nep,NEP
Niger–Congo,Ndonga,Owambo,ng,ndo,NDO,ndo,NDO
Indo-European,Norwegian Bokmål,Norsk Bokmål,nb,nob,NOB,nob,NOB
Indo-European,Norwegian Nynorsk,Norsk Nynorsk,nn,nno,NNO,nno,NNO
Indo-European,Norwegian,Norsk,no,nor,NOR,nor,NOR
Sino-Tibetan,"Sichuan Yi, Nuosu",ꆈꌠ꒿ Nuosuhxop,ii,iii,III,iii,III
Niger–Congo,South Ndebele,isiNdebele,nr,nbl,NBL,nbl,NBL
Indo-European,Occitan,"occitan, lenga d'òc",oc,oci,OCI,oci,OCI
Algonquian,Ojibwa,ᐊᓂᔑᓈᐯᒧᐎᓐ,oj,oji,OJI,oji,OJI
Indo-European,"Church Slavic, Old Slavonic, Church Slavonic, Old Bulgarian, Old Church Slavonic",ѩзыкъ словѣньскъ,cu,chu,CHU,chu,CHU
Afro-Asiatic,Oromo,Afaan Oromoo,om,orm,ORM,orm,ORM
Indo-European,Oriya,ଓଡ଼ିଆ,or,ori,ORI,ori,ORI
Indo-European,"Ossetian, Ossetic",ирон æвзаг,os,oss,OSS,oss,OSS
Indo-European,"Punjabi, Panjabi","ਪੰਜਾਬੀ, پنجابی‎",pa,pan,PAN,pan,PAN
Indo-European,Pali,"पालि, पाळि",pi,pli,PLI,pli,PLI
Indo-European,Persian,فارسی,fa,fas,FAS,per,PER
Indo-European,Polish,"język polski, polszczyzna",pl,pol,POL,pol,POL
Indo-European,"Pashto, Pushto",پښتو,ps,pus,PUS,pus,PUS
Indo-European,Portuguese,Português,pt,por,POR,por,POR
Quechuan,Quechua,"Runa Simi, Kichwa",qu,que,QUE,que,QUE
Indo-European,Romansh,Rumantsch Grischun,rm,roh,ROH,roh,ROH
Niger–Congo,Rundi,Ikirundi,rn,run,RUN,run,RUN
Indo-European,"Romanian, Moldavian, Moldovan",Română,ro,ron,RON,rum,RUM
Indo-European,Russian,русский,ru,rus,RUS,rus,RUS
Indo-European,Sanskrit,संस्कृतम्,sa,san,SAN,san,SAN
Indo-European,Sardinian,sardu,sc,srd,SRD,srd,SRD
Indo-European,Sindhi,"सिन्धी, سنڌي، سندھی‎",sd,snd,SND,snd,SND
Uralic,Northern Sami,Davvisámegiella,se,sme,SME,sme,SME
Austronesian,Samoan,gagana fa'a Samoa,sm,smo,SMO,smo,SMO
Creole,Sango,yângâ tî sängö,sg,sag,SAG,sag,SAG
Indo-European,Serbian,српски језик,sr,srp,SRP,srp,SRP
Indo-European,"Gaelic, Scottish Gaelic",Gàidhlig,gd,gla,GLA,gla,GLA
Niger–Congo,Shona,chiShona,sn,sna,SNA,sna,SNA
Indo-European,"Sinhala, Sinhalese",සිංහල,si,sin,SIN,sin,SIN
Indo-European,Slovak,"Slovenčina, Slovenský Jazyk",sk,slk,SLK,slo,SLO
Indo-European,Slovenian,"Slovenski Jezik, Slovenščina",sl,slv,SLV,slv,SLV
Afro-Asiatic,Somali,"Soomaaliga, af Soomaali",so,som,SOM,som,SOM
Niger–Congo,Southern Sotho,Sesotho,st,sot,SOT,sot,SOT
Indo-European,"Spanish, Castilian",Español,es,spa,SPA,spa,SPA
Austronesian,Sundanese,Basa Sunda,su,sun,SUN,sun,SUN
Niger–Congo,Swahili,Kiswahili,sw,swa,SWA,swa,SWA
Niger–Congo,Swati,SiSwati,ss,ssw,SSW,ssw,SSW
Indo-European,Swedish,Svenska,sv,swe,SWE,swe,SWE
Dravidian,Tamil,தமிழ்,ta,tam,TAM,tam,TAM
Dravidian,Telugu,తెలుగు,te,tel,TEL,tel,TEL
Indo-European,Tajik,"тоҷикӣ, toçikī, تاجیکی‎",tg,tgk,TGK,tgk,TGK
Tai–Kadai,Thai,ไทย,th,tha,THA,tha,THA
Afro-Asiatic,Tigrinya,ትግርኛ,ti,tir,TIR,tir,TIR
Sino-Tibetan,Tibetan,བོད་ཡིག,bo,bod,BOD,tib,TIB
Turkic,Turkmen,"Türkmen, Түркмен",tk,tuk,TUK,tuk,TUK
Austronesian,Tagalog,Wikang Tagalog,tl,tgl,TGL,tgl,TGL
Niger–Congo,Tswana,Setswana,tn,tsn,TSN,tsn,TSN
Austronesian,Tonga (Tonga Islands),Faka Tonga,to,ton,TON,ton,TON
Turkic,Turkish,Türkçe,tr,tur,TUR,tur,TUR
Niger–Congo,Tsonga,Xitsonga,ts,tso,TSO,tso,TSO
Turkic,Tatar,"татар теле, tatar tele",tt,tat,TAT,tat,TAT
Niger–Congo,Twi,Twi,tw,twi,TWI,twi,TWI
Austronesian,Tahitian,Reo Tahiti,ty,tah,TAH,tah,TAH
Turkic,"Uighur, Uyghur","ئۇيغۇرچە‎, Uyghurche",ug,uig,UIG,uig,UIG
Indo-European,Ukrainian,Українська,uk,ukr,UKR,ukr,UKR
Indo-European,Urdu,اردو,ur,urd,URD,urd,URD
Turkic,Uzbek,"Oʻzbek, Ўзбек, أۇزبېك‎",uz,uzb,UZB,uzb,UZB
Niger–Congo,Venda,Tshivenḓa,ve,ven,VEN,ven,VEN
Austroasiatic,Vietnamese,Tiếng Việt,vi,vie,VIE,vie,VIE
Constructed,Volapük,Volapük,vo,vol,VOL,vol,VOL
Indo-European,Walloon,Walon,wa,wln,WLN,wln,WLN
Indo-European,Welsh,Cymraeg,cy,cym,CYM,wel,WEL
Niger–Congo,Wolof,Wollof,wo,wol,WOL,wol,WOL
Indo-European,Western Frisian,Frysk,fy,fry,FRY,fry,FRY
Niger–Congo,Xhosa,isiXhosa,xh,xho,XHO,xho,XHO
Indo-European,Yiddish,ייִדיש,yi,yid,YID,yid,YID
Niger–Congo,Yoruba,Yorùbá,yo,yor,YOR,yor,YOR
Tai–Kadai,"Zhuang, Chuang","Saɯ cueŋƅ, Saw cuengh",za,zha,ZHA,zha,ZHA
Niger–Congo,Zulu,isiZulu,zu,zul,ZUL,zul,ZUL
