term_id,URI,rdfs:label,rdf:Resource,rdf:type,dcterms:source,rdf-profile:engOrigin,rdf-profile:termID,skos:notation,skos:definition,skos:inScheme,skos:prefLabel,skos:altLabel,skos:note,rdf-profile:classification,rdf-profile:linked-data-api,rdf-profile:origin
29,https://osgeo.geolexica.org/concepts/29/,Building Information Modelling,Building_Information_Modelling,skos:Concept,,,,,,,,,,,,
30,https://osgeo.geolexica.org/concepts/30/,Canadian Geospatial Data Infrastructure,Canadian_Geospatial_Data_Infrastructure,skos:Concept,,,,,,,,,,,,
31,https://osgeo.geolexica.org/concepts/31/,Canadian Space Agency,Canadian_Space_Agency,skos:Concept,,,,,,,,,,,,
32,https://osgeo.geolexica.org/concepts/32/,Cartograhy and Geographic Information Society,Cartograhy_and_Geographic_Information_Society,skos:Concept,,,,,,,,,,,,
33,https://osgeo.geolexica.org/concepts/33/,cartography,cartography,skos:Concept,,,,,,,,,,,,
34,https://osgeo.geolexica.org/concepts/34/,Catalog Service for the Web,Catalog_Service_for_the_Web,skos:Concept,,,,,,,,,,,,
35,https://osgeo.geolexica.org/concepts/35/,catalogue service,catalogue_service,skos:Concept,,,,,,,,,,,,
36,https://osgeo.geolexica.org/concepts/36/,CatMDEdit,CatMDEdit,skos:Concept,,,,,,,,,,,,
37,https://osgeo.geolexica.org/concepts/37/,CEN TC 287,CEN_TC_287,skos:Concept,,,,,,,,,,,,
38,https://osgeo.geolexica.org/concepts/38/,Census Research Centre,Census_Research_Centre,skos:Concept,,,,,,,,,,,,
39,https://osgeo.geolexica.org/concepts/39/,Center of Excellence for Geospatial Information Science,Center_of_Excellence_for_Geospatial_Information_Science,skos:Concept,,,,,,,,,,,,
40,https://osgeo.geolexica.org/concepts/40/,CEOS Working Group on Capacity Building and Data Democracy,CEOS_Working_Group_on_Capacity_Building_and_Data_Democracy,skos:Concept,,,,,,,,,,,,
41,https://osgeo.geolexica.org/concepts/41/,clearinghouse,clearinghouse,skos:Concept,,,,,,,,,,,,
42,https://osgeo.geolexica.org/concepts/42/,CNIDR z39.50 Server,CNIDR_z39_50_Server,skos:Concept,,,,,,,,,,,,
43,https://osgeo.geolexica.org/concepts/43/,Collaboratively Contributed Geographic Information,Collaboratively_Contributed_Geographic_Information,skos:Concept,,,,,,,,,,,,
44,https://osgeo.geolexica.org/concepts/44/,Committee on Data for Science and Technology,Committee_on_Data_for_Science_and_Technology,skos:Concept,,,,,,,,,,,,
45,https://osgeo.geolexica.org/concepts/45/,Committee on Earth Observation Satellites,Committee_on_Earth_Observation_Satellites,skos:Concept,,,,,,,,,,,,
46,https://osgeo.geolexica.org/concepts/46/,Common Object Model,Common_Object_Model,skos:Concept,,,,,,,,,,,,
47,https://osgeo.geolexica.org/concepts/47/,Common Object Request Broker Architecture,Common_Object_Request_Broker_Architecture,skos:Concept,,,,,,,,,,,,
48,https://osgeo.geolexica.org/concepts/48/,Compliance Test Language,Compliance_Test_Language,skos:Concept,,,,,,,,,,,,
49,https://osgeo.geolexica.org/concepts/49/,Comprehensive African Agricultural Development Programme,Comprehensive_African_Agricultural_Development_Programme,skos:Concept,,,,,,,,,,,,
50,https://osgeo.geolexica.org/concepts/50/,compression,compression,skos:Concept,,,,,,,,,,,,
51,https://osgeo.geolexica.org/concepts/51/,Compute Unified Device Architecture,Compute_Unified_Device_Architecture,skos:Concept,,,,,,,,,,,,
52,https://osgeo.geolexica.org/concepts/52/,computer-aided design,computeraided_design,skos:Concept,,,,,,,,,,,,
53,https://osgeo.geolexica.org/concepts/53/,Computer-aided design and drafting,Computeraided_design_and_drafting,skos:Concept,,,,,,,,,,,,
54,https://osgeo.geolexica.org/concepts/54/,computer-generated imagery,computergenerated_imagery,skos:Concept,,,,,,,,,,,,
55,https://osgeo.geolexica.org/concepts/55/,Consortium of Universities for the Advancement of Hydrologic Science,Consortium_of_Universities_for_the_Advancement_of_Hydrologic_Science,skos:Concept,,,,,,,,,,,,
56,https://osgeo.geolexica.org/concepts/56/,Content Standard for Digital Geospatial Metadata,Content_Standard_for_Digital_Geospatial_Metadata,skos:Concept,,,,,,,,,,,,
57,https://osgeo.geolexica.org/concepts/57/,coordinate,coordinate,skos:Concept,,,,,,,,,,,,
58,https://osgeo.geolexica.org/concepts/58/,Coordinate geometry,Coordinate_geometry,skos:Concept,,,,,,,,,,,,
59,https://osgeo.geolexica.org/concepts/59/,Coordinate Reference System,Coordinate_Reference_System,skos:Concept,,,,,,,,,,,,
60,https://osgeo.geolexica.org/concepts/60/,coordinate reference system,coordinate_reference_system,skos:Concept,,,,,,,,,,,,
61,https://osgeo.geolexica.org/concepts/61/,coverage,coverage,skos:Concept,,,,,,,,,,,,
62,https://osgeo.geolexica.org/concepts/62/,Create Read Update and Delete.,Create_Read_Update_and_Delete.,skos:Concept,,,,,,,,,,,,
63,https://osgeo.geolexica.org/concepts/63/,Creative Commons,Creative_Commons,skos:Concept,,,,,,,,,,,,
64,https://osgeo.geolexica.org/concepts/64/,CyberInfrastructure,CyberInfrastructure,skos:Concept,,,,,,,,,,,,
65,https://osgeo.geolexica.org/concepts/65/,Data Access Object,Data_Access_Object,skos:Concept,,,,,,,,,,,,
66,https://osgeo.geolexica.org/concepts/66/,Data Base File,Data_Base_File,skos:Concept,,,,,,,,,,,,
67,https://osgeo.geolexica.org/concepts/67/,data compression,data_compression,skos:Concept,,,,,,,,,,,,
68,https://osgeo.geolexica.org/concepts/68/,Data Quality Domain Working Group,Data_Quality_Domain_Working_Group,skos:Concept,,,,,,,,,,,,
69,https://osgeo.geolexica.org/concepts/69/,database,database,skos:Concept,,,,,,,,,,,,
70,https://osgeo.geolexica.org/concepts/70/,database management system,database_management_system,skos:Concept,,,,,,,,,,,,
71,https://osgeo.geolexica.org/concepts/71/,dataset,dataset,skos:Concept,,,,,,,,,,,,
72,https://osgeo.geolexica.org/concepts/72/,Decision Support Domain Working Group,Decision_Support_Domain_Working_Group,skos:Concept,,,,,,,,,,,,
73,https://osgeo.geolexica.org/concepts/73/,Defense and Intelligence Domain Working Group,Defense_and_Intelligence_Domain_Working_Group,skos:Concept,,,,,,,,,,,,
74,https://osgeo.geolexica.org/concepts/74/,DesiGN file,DesiGN_file,skos:Concept,,,,,,,,,,,,
75,https://osgeo.geolexica.org/concepts/75/,Digital and Electronic Maps Transfer Standard,Digital_and_Electronic_Maps_Transfer_Standard,skos:Concept,,,,,,,,,,,,
76,https://osgeo.geolexica.org/concepts/76/,Digital Elevation Model,Digital_Elevation_Model,skos:Concept,,,,,,,,,,,,
77,https://osgeo.geolexica.org/concepts/77/,Digital Geographic Exchange Standard,Digital_Geographic_Exchange_Standard,skos:Concept,,,,,,,,,,,,
78,https://osgeo.geolexica.org/concepts/78/,Digital Geospatial Information Working Group,Digital_Geospatial_Information_Working_Group,skos:Concept,,,,,,,,,,,,
79,https://osgeo.geolexica.org/concepts/79/,Digital Landscape Model,Digital_Landscape_Model,skos:Concept,,,,,,,,,,,,
80,https://osgeo.geolexica.org/concepts/80/,Digital Line Graph,Digital_Line_Graph,skos:Concept,,,,,,,,,,,,
81,https://osgeo.geolexica.org/concepts/81/,Digital Surface Models,Digital_Surface_Models,skos:Concept,,,,,,,,,,,,
82,https://osgeo.geolexica.org/concepts/82/,Digital Terrain Model,Digital_Terrain_Model,skos:Concept,,,,,,,,,,,,
83,https://osgeo.geolexica.org/concepts/83/,Discussion Paper,Discussion_Paper,skos:Concept,,,,,,,,,,,,
84,https://osgeo.geolexica.org/concepts/84/,Distributed Active Archive Center,Distributed_Active_Archive_Center,skos:Concept,,,,,,,,,,,,
85,https://osgeo.geolexica.org/concepts/85/,Distributed Computing Environment,Distributed_Computing_Environment,skos:Concept,,,,,,,,,,,,
86,https://osgeo.geolexica.org/concepts/86/,Distributed Computing Platform,Distributed_Computing_Platform,skos:Concept,,,,,,,,,,,,
87,https://osgeo.geolexica.org/concepts/87/,domain working group,domain_working_group,skos:Concept,,,,,,,,,,,,
88,https://osgeo.geolexica.org/concepts/88/,Drawing eXchange Format,Drawing_eXchange_Format,skos:Concept,,,,,,,,,,,,
89,https://osgeo.geolexica.org/concepts/89/,Dublin Core,Dublin_Core,skos:Concept,,,,,,,,,,,,
90,https://osgeo.geolexica.org/concepts/91/,DWG file,DWG_file,skos:Concept,,,,,,,,,,,,
91,https://osgeo.geolexica.org/concepts/91/,Earth Observation,Earth_Observation,skos:Concept,,,,,,,,,,,,
92,https://osgeo.geolexica.org/concepts/92/,Earth Observation and Environmental Modelling for the Mitigation of Health Risks,Earth_Observation_and_Environmental_Modelling_for_the_Mitigation_of_Health_Risks,skos:Concept,,,,,,,,,,,,
93,https://osgeo.geolexica.org/concepts/93/,Earth Observation Science,Earth_Observation_Science,skos:Concept,,,,,,,,,,,,
94,https://osgeo.geolexica.org/concepts/94/,Earth Observing System and Data Information System,Earth_Observing_System_and_Data_Information_System,skos:Concept,,,,,,,,,,,,
95,https://osgeo.geolexica.org/concepts/95/,Earth System Science Domain Working Group,Earth_System_Science_Domain_Working_Group,skos:Concept,,,,,,,,,,,,
96,https://osgeo.geolexica.org/concepts/96/,ebXML Registry Information Model,ebXML_Registry_Information_Model,skos:Concept,,,,,,,,,,,,
97,https://osgeo.geolexica.org/concepts/97/,ebXML Registry Services and Protocols,ebXML_Registry_Services_and_Protocols,skos:Concept,,,,,,,,,,,,
98,https://osgeo.geolexica.org/concepts/98/,ellipsoid,ellipsoid,skos:Concept,,,,,,,,,,,,
99,https://osgeo.geolexica.org/concepts/99/,Emergency & Disaster Management Domain Working Group,Emergency_&_Disaster_Management_Domain_Working_Group,skos:Concept,,,,,,,,,,,,
100,https://osgeo.geolexica.org/concepts/100/,Enterprise Architecture,Enterprise_Architecture,skos:Concept,,,,,,,,,,,,
101,https://osgeo.geolexica.org/concepts/101/,Enterprise Architecture Special Interest Group,Enterprise_Architecture_Special_Interest_Group,skos:Concept,,,,,,,,,,,,
102,https://osgeo.geolexica.org/concepts/102/,Enterprise Business XML,Enterprise_Business_XML,skos:Concept,,,,,,,,,,,,
103,https://osgeo.geolexica.org/concepts/103/,Enterprise Java Beans.,Enterprise_Java_Beans.,skos:Concept,,,,,,,,,,,,
104,https://osgeo.geolexica.org/concepts/104/,Environmental Protection Agency,Environmental_Protection_Agency,skos:Concept,,,,,,,,,,,,
105,https://osgeo.geolexica.org/concepts/105/,Environmental Systems Research Institute,Environmental_Systems_Research_Institute,skos:Concept,,,,,,,,,,,,
106,https://osgeo.geolexica.org/concepts/106/,EPSG code,EPSG_code,skos:Concept,,,,,,,,,,,,
107,https://osgeo.geolexica.org/concepts/107/,European Center for Medium range Weather Forecasting,European_Center_for_Medium_range_Weather_Forecasting,skos:Concept,,,,,,,,,,,,
108,https://osgeo.geolexica.org/concepts/108/,European Committee for Electrotechnical Standardization (Comité Européen de Normalisation Électrotechnique),European_Committee_for_Electrotechnical_Standardization,skos:Concept,,,,,,,,,,,,
109,https://osgeo.geolexica.org/concepts/109/,European Committee for Standardization (Comite Europeen de Normalisation),European_Committee_for_Standardization,skos:Concept,,,,,,,,,,,,
110,https://osgeo.geolexica.org/concepts/110/,European Environment Agency,European_Environment_Agency,skos:Concept,,,,,,,,,,,,
111,https://osgeo.geolexica.org/concepts/111/,European Petroleum Survey Group,European_Petroleum_Survey_Group,skos:Concept,,,,,,,,,,,,
112,https://osgeo.geolexica.org/concepts/112/,European Space Agency,European_Space_Agency,skos:Concept,,,,,,,,,,,,
113,https://osgeo.geolexica.org/concepts/113/,European Space Education Resource Office,European_Space_Education_Resource_Office,skos:Concept,,,,,,,,,,,,
114,https://osgeo.geolexica.org/concepts/114/,European Spatial Data Information Infrastructure,European_Spatial_Data_Information_Infrastructure,skos:Concept,,,,,,,,,,,,
115,https://osgeo.geolexica.org/concepts/115/,European Spatial Data Research,European_Spatial_Data_Research,skos:Concept,,,,,,,,,,,,
116,https://osgeo.geolexica.org/concepts/116/,European Umbrella Organisation for Geographic Information,European_Umbrella_Organisation_for_Geographic_Information,skos:Concept,,,,,,,,,,,,
117,https://osgeo.geolexica.org/concepts/117/,eXtensible Markup Language,eXtensible_Markup_Language,skos:Concept,,,,,,,,,,,,
118,https://osgeo.geolexica.org/concepts/118/,eXtensible Style Sheet Transformation,eXtensible_Style_Sheet_Transformation,skos:Concept,,,,,,,,,,,,
119,https://osgeo.geolexica.org/concepts/119/,Extreme Science and Engineering Discovery Environment,Extreme_Science_and_Engineering_Discovery_Environment,skos:Concept,,,,,,,,,,,,
120,https://osgeo.geolexica.org/concepts/120/,feature type,feature_type,skos:Concept,,,,,,,,,,,,
121,https://osgeo.geolexica.org/concepts/121/,Federal Geographic Data Committee,Federal_Geographic_Data_Committee,skos:Concept,,,,,,,,,,,,
122,https://osgeo.geolexica.org/concepts/122/,Food and Agriculture Organisation,Food_and_Agriculture_Organisation,skos:Concept,,,,,,,,,,,,
123,https://osgeo.geolexica.org/concepts/123/,Free and Open Source Software,Free_and_Open_Source_Software,skos:Concept,,,,,,,,,,,,
124,https://osgeo.geolexica.org/concepts/124/,Free and Open Source Software for Geospatial,Free_and_Open_Source_Software_for_Geospatial,skos:Concept,,,,,,,,,,,,
125,https://osgeo.geolexica.org/concepts/125/,GD Graphics (Draw) Library,GD_Graphics_Draw_Library,skos:Concept,,,,,,,,,,,,
126,https://osgeo.geolexica.org/concepts/126/,geodesy,geodesy,skos:Concept,,,,,,,,,,,,
127,https://osgeo.geolexica.org/concepts/127/,geographic information system,geographic_information_system,skos:Concept,,,,,,,,,,,,
128,https://osgeo.geolexica.org/concepts/128/,Geographic Linkage Service 1.0 Standards Working Group,Geographic_Linkage_Service_1_0_Standards_Working_Group,skos:Concept,,,,,,,,,,,,
129,https://osgeo.geolexica.org/concepts/129/,geoid,geoid,skos:Concept,,,,,,,,,,,,
130,https://osgeo.geolexica.org/concepts/130/,GeoJSON,GeoJSON,skos:Concept,,,,,,,,,,,,
131,https://osgeo.geolexica.org/concepts/131/,Geometry Engine Open Source,Geometry_Engine_Open_Source,skos:Concept,,,,,,,,,,,,
132,https://osgeo.geolexica.org/concepts/132/,GeoNetwork,GeoNetwork,skos:Concept,,,,,,,,,,,,
133,https://osgeo.geolexica.org/concepts/133/,GeoNetwork Administrator Survival Tool,GeoNetwork_Administrator_Survival_Tool,skos:Concept,,,,,,,,,,,,
134,https://osgeo.geolexica.org/concepts/134/,geopositioning,geopositioning,skos:Concept,,,,,,,,,,,,
135,https://osgeo.geolexica.org/concepts/135/,Geoprocessing networks in a European Territorial Interoperability Study,Geoprocessing_networks_in_a_European_Territorial_Interoperability_Study,skos:Concept,,,,,,,,,,,,
136,https://osgeo.geolexica.org/concepts/136/,georectified,georectified,skos:Concept,,,,,,,,,,,,
137,https://osgeo.geolexica.org/concepts/137/,georeferencing,georeferencing,skos:Concept,,,,,,,,,,,,
138,https://osgeo.geolexica.org/concepts/138/,GeoRSS,GeoRSS,skos:Concept,,,,,,,,,,,,
139,https://osgeo.geolexica.org/concepts/139/,GeoServer,GeoServer,skos:Concept,,,,,,,,,,,,
140,https://osgeo.geolexica.org/concepts/140/,GeoServer Data Store,GeoServer_Data_Store,skos:Concept,,,,,,,,,,,,
141,https://osgeo.geolexica.org/concepts/141/,GeoServer ImageMosaic,GeoServer_ImageMosaic,skos:Concept,,,,,,,,,,,,
142,https://osgeo.geolexica.org/concepts/142/,GeoServices REST (REpresentational State Transfer) Standards Working Group,GeoServices_REST_Standards_Working_Group,skos:Concept,,,,,,,,,,,,
143,https://osgeo.geolexica.org/concepts/143/,GeoSPARQL SWG,GeoSPARQL_SWG,skos:Concept,,,,,,,,,,,,
144,https://osgeo.geolexica.org/concepts/144/,Geospatial Data Abstraction Library,Geospatial_Data_Abstraction_Library,skos:Concept,,,,,,,,,,,,
145,https://osgeo.geolexica.org/concepts/145/,geospatial data set,geospatial_data_set,skos:Concept,,,,,,,,,,,,
146,https://osgeo.geolexica.org/concepts/146/,Geospatial Information & Technology Association,Geospatial_Information_Technology_Association,skos:Concept,,,,,,,,,,,,
147,https://osgeo.geolexica.org/concepts/147/,geospatial metadata instance,geospatial_metadata_instance,skos:Concept,,,,,,,,,,,,
148,https://osgeo.geolexica.org/concepts/148/,geospatial metadata standard,geospatial_metadata_standard,skos:Concept,,,,,,,,,,,,
149,https://osgeo.geolexica.org/concepts/149/,Geospatial Objects,Geospatial_Objects,skos:Concept,,,,,,,,,,,,
150,https://osgeo.geolexica.org/concepts/150/,Geospatial Rights Management Domain Working Group,Geospatial_Rights_Management_Domain_Working_Group,skos:Concept,,,,,,,,,,,,
151,https://osgeo.geolexica.org/concepts/151/,Global Earth Observation System of Systems Pilot Project,Global_Earth_Observation_System_of_Systems_Pilot_Project,skos:Concept,,,,,,,,,,,,
152,https://osgeo.geolexica.org/concepts/152/,Global Flood Awareness System,Global_Flood_Awareness_System,skos:Concept,,,,,,,,,,,,
153,https://osgeo.geolexica.org/concepts/153/,Global Navigational Satellite System,Global_Navigational_Satellite_System,skos:Concept,,,,,,,,,,,,
154,https://osgeo.geolexica.org/concepts/154/,Global Open Data for Agriculture and Nutrition,Global_Open_Data_for_Agriculture_and_Nutrition,skos:Concept,,,,,,,,,,,,
155,https://osgeo.geolexica.org/concepts/155/,Global Positioning System,Global_Positioning_System,skos:Concept,,,,,,,,,,,,
156,https://osgeo.geolexica.org/concepts/156/,Global Spatial Data Infrastructure,Global_Spatial_Data_Infrastructure,skos:Concept,,,,,,,,,,,,
157,https://osgeo.geolexica.org/concepts/157/,Global Spatial Data infrastructure Association,Global_Spatial_Data_infrastructure_Association,skos:Concept,,,,,,,,,,,,
158,https://osgeo.geolexica.org/concepts/158/,globally unique identifier,globally_unique_identifier,skos:Concept,,,,,,,,,,,,
159,https://osgeo.geolexica.org/concepts/159/,GML in JPEG 2000,GML_in_JPEG_2000,skos:Concept,,,,,,,,,,,,
160,https://osgeo.geolexica.org/concepts/160/,GNU General Public License,GNU_General_Public_License,skos:Concept,,,,,,,,,,,,
161,https://osgeo.geolexica.org/concepts/161/,Google Summer of Code,Google_Summer_of_Code,skos:Concept,,,,,,,,,,,,
162,https://osgeo.geolexica.org/concepts/162/,GPC Global Information Solutions,GPC_Global_Information_Solutions,skos:Concept,,,,,,,,,,,,
163,https://osgeo.geolexica.org/concepts/163/,GPS Exchange Format,GPS_Exchange_Format,skos:Concept,,,,,,,,,,,,
164,https://osgeo.geolexica.org/concepts/164/,Graphic Interchange Format,Graphic_Interchange_Format,skos:Concept,,,,,,,,,,,,
165,https://osgeo.geolexica.org/concepts/165/,GRASPgfs,GRASPgfs,skos:Concept,,,,,,,,,,,,
166,https://osgeo.geolexica.org/concepts/166/,GRIB,GRIB,skos:Concept,,,,,,,,,,,,
167,https://osgeo.geolexica.org/concepts/167/,grid,grid,skos:Concept,,,,,,,,,,,,
168,https://osgeo.geolexica.org/concepts/168/,Ground Control Point,Ground_Control_Point,skos:Concept,,,,,,,,,,,,
169,https://osgeo.geolexica.org/concepts/169/,Group on Earth Observations,Group_on_Earth_Observations,skos:Concept,,,,,,,,,,,,
170,https://osgeo.geolexica.org/concepts/170/,gvSIG,gvSIG,skos:Concept,,,,,,,,,,,,
171,https://osgeo.geolexica.org/concepts/171/,Hibernate Query Language.,Hibernate_Query_Language.,skos:Concept,,,,,,,,,,,,
172,https://osgeo.geolexica.org/concepts/172/,Hierarchical Data Format,Hierarchical_Data_Format,skos:Concept,,,,,,,,,,,,
173,https://osgeo.geolexica.org/concepts/173/,High Level Political Forum (of UN),High_Level_Political_Forum_of_UN,skos:Concept,,,,,,,,,,,,
174,https://osgeo.geolexica.org/concepts/174/,high performance computing,high_performance_computing,skos:Concept,,,,,,,,,,,,
175,https://osgeo.geolexica.org/concepts/175/,Human Technology Interface,Human_Technology_Interface,skos:Concept,,,,,,,,,,,,
176,https://osgeo.geolexica.org/concepts/176/,Humanitarian OpenStreetMap Team,Humanitarian_OpenStreetMap_Team,skos:Concept,,,,,,,,,,,,
177,https://osgeo.geolexica.org/concepts/177/,IEEE Geoscience and Remote Sensing Society,IEEE_Geoscience_and_Remote_Sensing_Society,skos:Concept,,,,,,,,,,,,
178,https://osgeo.geolexica.org/concepts/178/,IEEE Geoscience and Remote Sensing Society,IEEE_Geoscience_and_Remote_Sensing_Society_2,skos:Concept,,,,,,,,,,,,
179,https://osgeo.geolexica.org/concepts/179/,image,image,skos:Concept,,,,,,,,,,,,
180,https://osgeo.geolexica.org/concepts/180/,Implementation Standard,Implementation_Standard,skos:Concept,,,,,,,,,,,,
181,https://osgeo.geolexica.org/concepts/181/,IndoorGML,IndoorGML,skos:Concept,,,,,,,,,,,,
182,https://osgeo.geolexica.org/concepts/182/,Information and Communications Technology,Information_and_Communications_Technology,skos:Concept,,,,,,,,,,,,
183,https://osgeo.geolexica.org/concepts/183/,Information Communities and Semantics,Information_Communities_and_Semantics,skos:Concept,,,,,,,,,,,,
184,https://osgeo.geolexica.org/concepts/184/,Infraestructura de Datos Espaciales de España (Spanish Spatial Data Infrastructure),Infraestructura_de_Datos_Espaciales_de_Espana,skos:Concept,,,,,,,,,,,,
185,https://osgeo.geolexica.org/concepts/185/,Infrastructure for Spatial Information in Europe,Infrastructure_for_Spatial_Information_in_Europe,skos:Concept,,,,,,,,,,,,
186,https://osgeo.geolexica.org/concepts/186/,Integrated Justice Information Systems (IJIS) Institute,Integrated_Justice_Information_Systems_IJIS_Institute,skos:Concept,,,,,,,,,,,,
187,https://osgeo.geolexica.org/concepts/187/,Intellectual Property,Intellectual_Property,skos:Concept,,,,,,,,,,,,
188,https://osgeo.geolexica.org/concepts/188/,Intellectual Property Rights,Intellectual_Property_Rights,skos:Concept,,,,,,,,,,,,
189,https://osgeo.geolexica.org/concepts/189/,International Cartographic Association,International_Cartographic_Association,skos:Concept,,,,,,,,,,,,
190,https://osgeo.geolexica.org/concepts/190/,International Council for Science – World Data System,International_Council_for_Science_–_World_Data_System,skos:Concept,,,,,,,,,,,,
191,https://osgeo.geolexica.org/concepts/191/,International Electrotechnical Commission,International_Electrotechnical_Commission,skos:Concept,,,,,,,,,,,,
192,https://osgeo.geolexica.org/concepts/192/,International Hydrographic Office,International_Hydrographic_Office,skos:Concept,,,,,,,,,,,,
193,https://osgeo.geolexica.org/concepts/193/,International Modeling & Software Society Secretariat,International_Modeling_Software_Society_Secretariat,skos:Concept,,,,,,,,,,,,
194,https://osgeo.geolexica.org/concepts/194/,International Organization for Standardization,International_Organization_for_Standardization,skos:Concept,,,,,,,,,,,,
195,https://osgeo.geolexica.org/concepts/195/,International Society for Photogrammetry and Remote Sensing,International_Society_for_Photogrammetry_and_Remote_Sensing,skos:Concept,,,,,,,,,,,,
196,https://osgeo.geolexica.org/concepts/196/,International Standard,International_Standard,skos:Concept,,,,,,,,,,,,
197,https://osgeo.geolexica.org/concepts/197/,International Telecommunication Union,International_Telecommunication_Union,skos:Concept,,,,,,,,,,,,
198,https://osgeo.geolexica.org/concepts/198/,Internet Engineering Task Force,Internet_Engineering_Task_Force,skos:Concept,,,,,,,,,,,,
199,https://osgeo.geolexica.org/concepts/199/,Internet Society,Internet_Society,skos:Concept,,,,,,,,,,,,
200,https://osgeo.geolexica.org/concepts/200/,Interoperability Experiment,Interoperability_Experiment,skos:Concept,,,,,,,,,,,,
201,https://osgeo.geolexica.org/concepts/201/,Interoperability Program,Interoperability_Program,skos:Concept,,,,,,,,,,,,
202,https://osgeo.geolexica.org/concepts/202/,Interoperability Program Team,Interoperability_Program_Team,skos:Concept,,,,,,,,,,,,
