id,label,note
97,cost function,"Note to entry: The normal mechanism is to apply a cost to each part of a route, and to define the total route cost as the sum of the cost of the parts. This is necessary for the operation of the most common navigation algorithms. The units of cost functions are not limited to monetary costs and values only, but include such measures as time, distance, and possibly others. The only requirement is that the function be additive and at least non-negative. This last criteria can be softened as long as no zero or less cost is associated with any loop in the network, as this will prevent the existence of a ""minimal cost"" route. "
99,coverage,"Note to entry: In other words, a coverage is a feature that has multiple values for each attribute type, where each direct position within the geometric representation of the feature has a single value for each attribute type."
101,curve,"Note to entry: The boundary of a curve is the set of points at either end of the curve. If the curve is a cycle, the two ends are identical, and the curve (if topologically closed) is considered to not have a boundary. The first point is called the start point, and the last is the end point. Connectivity of the curve is guaranteed by the ""continuous image of a line"" clause. A topological theorem states that a continuous image of a connected set is connected."
102,curve segment,Note to entry: The geometric set represented by a single curve segment is equivalent to a curve.
103,cycle (geometry),"Note to entry: Cycles are used to describe boundary components (see shell, ring). A cycle has no boundary because it closes on itself, but it is bounded (i.e., it does not have infinite extent). A circle or a sphere, for example, has no boundary, but is bounded."
111,data product specification,"Note to entry: A data product specification provides a description of the universe of discourse and a specification for mapping the universe of discourse to a dataset. It may be used for production, sales, end-use or other purposes."
113,data quality element,Note to entry: The applicability of a data quality element to a dataset depends on both the dataset's content and its product specification; the result being that all data elements may not be applicable to all datasets.
116,data quality overview element,"Note to entry: Information about the purpose, usage, and lineage of a dataset is non-quantitative information."
118,data quality scope,"Note to entry: A data quality scope for a dataset can comprise a dataset series to which the dataset belongs, the dataset itself, or a smaller grouping of data located physically within the dataset sharing common characteristics. Common characteristics can be an identified feature type, feature attribute, or feature relationship; data collection criteria; original source; or a specified geographic or temporal extent."
120,data quality value type,Note to entry: A data quality value type is always provided for a data quality result.
291,metadata entity, Note 1 to entry: May contain one or more metadata entities.
291,metadata entity,Note 2 to entry: Equivalent to a class in UML terminology.
292,metadata schema,Note to entry: ISO 19115 describes a standard for a metadata schema.
293,metadata section,Note to entry: Equivalent to a package in UML terminology
295,method (UML),Note to entry: It specifies the algorithm or procedure associated with an operation.
300,month,Note to entry: The duration of a month is an integer number of days. The number of days in a month is determined by the rules of the particular calendar.
304,multiplicity (UML),"Note to entry: Multiplicity specifications may be given for roles within associations, parts within composites, repetitions and other purposes. Essentially a multiplicity is a (possibly infinite) subset of the non-negative integers. Contrast: cardinality."
306,navigation,"Note to entry: This is essentially the common term navigation, but the definition decomposes the process in terms used in the packages defined in this International Standard."
308,network,"Note to entry: The network is essentially the universe of discourse for the navigation problem. Networks are a variety of 1-dimensional topological complex. In this light, junction and topological node are synonyms, as are link and directed edge."
309,node,Note to entry: The boundary of a node is the empty set.
312,object,"Note to entry: This term was first used in this way in the general theory of object oriented programming, and later adopted for use in this same sense in UML. An object is an instance of a class. Attributes and relationships represent state. Operations, methods, and state machines represent behavior."
313,object (UML),"Note to entry: State is represented by attributes and relationships, behaviour is represented by operations, methods, and state machines. An object is an instance of a class. See: class, instance."
317,operating conditions,"Note to entry: Measurements acquired in the field are affected by many instrumental and environmental factors, including meteorological conditions, computational methods and constraints, imperfect instrument construction, incomplete instrument adjustment or calibration, and, in the case of optical measuring systems, the personal bias of the observer. Solutions for positions may be affected by the geometric relationships of the observed data and/or mathematical model employed in the processing software."
318,operation,Note 1 to entry: An operation has a name and a list of parameters.
318,operation,Note 2 to entry: See 7.2 [of ISO 19119] for a discussion of operation
319,operation (UML),"Note 1 to entry: An operation has a signature, which may restrict the actual parameters that are possible."
319,operation (UML),Note 2 to entry: Definition from UML Reference Manual: A specification of a transformation or query that an object may be called to execute.
319,operation (UML),Note 3 to entry: An operation has a name and a list of parameters. A method is a procedure that implements an operation. It has an algorithm or procedure description.
325,package (UML),Note to entry: Packages may be nested within other packages. Both model elements and diagrams may appear in a package.
328,performance indicator,"Note to entry: Performance indicators can be used as quality-control evidence of the positioning system and/or positioning solution. Internal quality control may include such factors as signal strength of received radio signals [signal-to-noise ratio (SNR)], figures indicating the dilution of precision (DOP) due to geometric constraints in radiolocation systems, and system-specific figure of merit (FOM)."
329,performance testing,Note to entry: This is not a part of conformance testing
330,period,Note to entry: A period is bounded by two different temporal positions.
333,physical quantity,Note to entry: In GML a physical quantity is always a value described using a numeric amount with a scale or using a scalar reference system. Physical quantity is a synonym for measure when the latter is used as a noun.
336,point,Note to entry: The boundary of a point is the empty set.
347,position,"Note to entry: A direct position is a semantic subtype of position. Direct positions as described can only define a point and therefore not all positions can be represented by a direct position. That is consistent with the ""is type of"" relation. An 19107 geometry is also a position, just not a direct position."
348,positional accuracy,"Note to entry: The phrase ""absolute accuracy"" is sometimes used for this concept to distinguish it from relative positional accuracy. Where the true coordinate value may not be perfectly known, accuracy is normally tested by comparison to available values that can best be accepted as true."
349,positional system,"Note to entry: Examples include inertial, integrated, linear, optical, and satellite positioning systems."
350,precision,Note to entry: Precision is usually expressed as a statistical value based upon a set of repeated measurements such as the standard deviation from the sample mean.
356,profile,"Note to entry: A profile is derived from base standards so that by definition, conformance to a profile is conformance to the base standards from which it is derived."
364,raster,Note to entry: A raster is a type of grid.
366,record,"Note to entry: Logically, a record is a set of pairs <name, item >."
367,rectified grid,"Note to entry: If the coordinate reference system is related to the earth by a datum, the grid is a georectified grid."
369,referenceable grid,"Note to entry: If the coordinate reference system is related to the earth by a datum, the grid is a georeferenceable grid."
370,refinement (UML),"Note to entry: For example, a design class is a refinement of an analysis class"
376,relationship (UML),"Note to entry: Kinds of relationships include association, generalization, metarelationship, flow and several kinds grouped under dependency."
377,relative position,"Note to entry: The spatial relationship of one point relative to another may be one-, two- or three-dimensional."
378,relative positional accuracy,"Note to entry: Closely related terms such as local accuracy are employed in various countries, agencies and application groups. Where such terms are utilized, it is necessary to provide a description of the term."
385,ring,Note to entry: Rings are used to describe boundary components of surfaces in 2D and 3D coordinate systems.
386,robustness testing,Note to entry: This is not a part of conformance testing
387,route,Note to entry: This is not a part of conformance testing
389,route instruction,"Note to entry: To minimize the number of instructions needed to complete a route traversal, a default instruction can be assumed at junctions without specifically associated instructions. This default is called the main-road rule."
392,satellite positioning system,"Note to entry: In this context, satellite positioning implies the use of radio signals transmitted from ""active"" artificial objects orbiting the Earth and received by ""passive"" instruments on or near the Earth's surface to determine position, velocity, and/or attitude of an object. Examples are GPS and GLONASS."
403,sequence,"Note to entry: Logically, a sequence is a set of pairs <item, offset>. LISP syntax, which delimits sequences with parentheses and separates elements in the sequence with commas, is used in this International Standard."
405,service,Note to entry: See 7.2 [of ISO 19119] for a discussion of service
410,shell,Note to entry: Shells are used to describe boundary components of solids in 3D coordinate systems.
411,simple,Note to entry: This implies that no interior direct position is involved in a self-intersection of any kind.
416,solid,"Note to entry: A solid is realizable locally as a three parameter set of direct positions. The boundary of a solid is the set of oriented, closed surfaces that comprise the limits of the solid."
420,spatial operator,Note to entry: Any UML operation on a spatial object would be classified as a spatial operator as are the query operators in clause 8 of IS 19107.
421,spatial reference,"Note to entry: This may take the form of a label, code or coordinate tuple."
423,spatiotemporal domain <coverage>,Note to entry: The spatiotemporal domain of a continuous coverage consists of a set of direct positions defined in relation to a collection of spatiotemporal objects.
425,specification (UML),Note to entry: Contrast: implementation.
432,stereotype (UML),"Note to entry: Stereotypes must be based on certain existing types or classes in the metamodel. Stereotypes may extend the semantics, but not the structure of pre-existing types and classes. Certain stereotypes are predefined in the UML, others may be user defined. Stereotypes are one of three extensibility mechanisms in UML. The others are constraint and tagged value."
433,strong substitutability,Note to entry: The weaker forms of substitutability make various restrictions on the context of the implied substitution.
434,subcomplex,"Note to entry: Since the definitions of geometric complex and topological complex require only that they be closed under boundary operations, the set of any primitives of a particular dimension and below is always a subcomplex of the original, larger complex. Thus, any full planar topological complex contains an edge-node graph as a subcomplex."
437,surface,"Note to entry: The boundary of a surface is the set of oriented, closed curves that delineate the limits of the surface. Surfaces that are isomorphic to a sphere, or to an n-torus (a topological sphere with n ""handles"") have no boundary. Such surfaces are called cycles."
441,tag (XML),"Note to entry: A tag with no forward slash (e.g. <Road> ) is called a start-tag (also opening tag), and one with a forward slash (e.g. </Road> is called an end-tag (also closing tag)."
442,tagged value (XML),"Note to entry: In a tagged value, the name is referred as the tag. Certain tags are predefined in the UML; others may be user defined. Tagged values are one of three extensibility mechanisms in UML. The others are constraint and stereotype."
451,term,"Note to entry: A term may contain symbols and can have variants, e.g. different forms of spelling."
452,term equivalent,Note to entry: A term equivalent should be accompanied by a definition of the designated concept expressed in the same language as the term equivalent
457,tessellation,"Note to entry: A tessellation composed of congruent regular polygons or polyhedra is a regular tessellation. One composed of regular, but non-congruent polygons or polyhedra is a semi-regular tessellation. Otherwise the tessellation is irregular."
461,topological boundary,Note to entry: The boundary of a topological complex corresponds to the boundary of the geometric realization of the topological complex.
462,topological complex,"Note to entry: Closed under the boundary operations means that if a topological primitive is in the topological complex, then its boundary objects are also in the topological complex."
463,topological dimension,"Note to entry: The free variables mentioned above can usually be thought of as a local coordinate system. In a 3D coordinate space, a plane can be written as P(u, v) = A + u X + v Y, where u and v are real numbers and A is any point on the plane, and X and Y are two vectors tangent to the plane. Since the locations on the plane can be distinguished by u and v (here universally), the plane is 2D and (u, v) is a coordinate system for the points on the plane. On generic surfaces, this cannot, in general, be done universally. If we take a plane tangent to the surface, and project points on the surface onto this plane, we will normally get a local isomorphism for small neighbourhoods of the point of tangency. This ""local coordinate"" system for the underlying surface is sufficient to establish the surface as a 2D topological object. Since this International Standard deals only with spatial coordinates, any 3D object can rely on coordinates to establish its topological dimension. In a 4D model (spatio-temporal), tangent spaces also play an important role in establishing topological dimension for objects up to 3D. "
465,topological expression,Note to entry: Topological expressions are used for many calculations in computational topology.
466,topological object,"Note to entry: A topological object is a topological primitive, a collection of topological primitives, or a topological complex."
467,topological primitive,Note to entry: A topological primitive corresponds to the interior of a geometric primitive of the same dimension in a geometric realization.
468,topological solid,Note to entry: The boundary of a topological solid consists of a set of directed faces.
474,traversable,"Note to entry: Traversability is usually a function of physical, cultural, or legal conditions. If traversable is false, then the object cannot be navigated. This effectively removes a link from the usable network. In the case of a node, it effectively removes the node and all associated links from the useable network. In the case of a turn, it simply removes it from any viable route. Non-traversable entities are not included in maneuvers or routes."
477,tuple,Note to entry: The number of values in a tuple is immutable
480,uncertainty,"Note to entry: When the quality of accuracy or precision of measured values, such as coordinates, is to be characterized quantitatively, the quality parameter is an estimate of the uncertainty of the measurement results. Because accuracy is a qualitative concept, one should not use it quantitatively, that is associate numbers with it; numbers should be associated with measures of uncertainty instead."
481,Uniform Resource Identifier,Note to entry: The general syntax is <scheme>::<scheme-specific-part>. The hierarchical syntax with a namespace is <scheme>://<authority><path>?<query> - see RFC 2396.
483,unit of measure,"Note to entry: In positioning services, the usual units of measurement are either angular units or linear units. Implementations of positioning services must clearly distinguish between SI units and non-SI units. When non-SI units are employed, it is requird that their relation to SI units be specified."
484,universal face,"Note to entry: The universal face is normally not part of any feature, and is used to represent the unbounded portion of the data set. Its interior boundary (it has no exterior boundary) would normally be considered the exterior boundary of the map represented by the data set. This International Standard does not special case the universal face, but application schemas may find it convenient to do so."
485,universal solid,"Note to entry: The universal solid is the 3-dimensional counterpart of the universal face, and is also normally not part of any feature."
489,value (UML),Note 1 to entry: A value may consider a possible state of an object within a class or type (domain).
489,value (UML),"Note 2 to entry: A data value is an instance of a data type, a value without identity"
491,vector,Note to entry: A directed line segment represents a vector if the length and direction of the line segment are equal to the magnitude and direction of the vector. The term vector data refers to data that represents the spatial configuration of features as a set of directed line segments.
493,vehicle classification,"Note to entry: Classifications based on construction include automobile, truck, bus, bicycle, etc. Classifications based on purpose include taxi, emergency vehicle, etc. Vehicle classification can be used to determine the application of navigation constraints."
501,local datum,Note to entry: Engineering datum excludes both geodetic and vertical datums. 
506,clarification,Note to entry: A non-substantive change does not change the semantics or technical meaning of the item. Clarification does not result in a change to the registration status of the register item.
508,register manager,"Note to entry: In the case of an ISO register, the register manager performs the functions of the registration authority specified in the ISO/IEC Directives."
509,retirement,Note to entry: The status of the retired item changes from 'valid' to 'retired'. A retired item is kept in the register to support the interpretation of data produced before its retirement.
510,supersession,"Note to entry: The status of the replaced item changes from ""valid"" to ""superseded."""
518,object point,Note to entry: In remote sensing and aerial photogrammetry an object point is a point defined in an Earth-fixed coordinate reference system.
532,attribute (XML),"Note to entry: In this document an attribute is an XML attribute unless otherwise specified. The syntax of an XML attribute is ""Attribute::= Name = AttValue"". An attribute typically acts as an XML element modifier (e.g. <Road gml:id = ""r1"" />; here gml:id is an attribute."
534,property (GML),"Note to entry: It corresponds to feature attribute and feature association role in ISO 19109. If a GML property of a feature has an xlink:href attribute that references a feature, the property represents a feature association role."
551,image,Note to entry: The physical parameters are the result of measurement by a sensor or a prediction from a model
558,knowledge base,"Note to entry: The data base contains facts, inferences, and procedures needed for problem solution [Webster Computer]"
605,depth,Note to entry: A depth above the reference surface will have a negative value
614,height,Note to entry: A height below the reference surface will have a negative value.
619,pixel,"Note 1 to entry: This term originated as a contraction of ""picture element"""
619,pixel,Note 2 to entry: Related to the concept of a grid cell
620,polar coordinate system,"Note to entry: For the three-dimensional case, see spherical coordinate system (4.44)."
622,semi-major axis,Note to entry: This equates to the semi-diameter of the ellipsoid measured in its equatorial plane.
623,semi-minor axis,Note to entry: The shortest axis coincides with the rotation axis of the ellipsoid and therefore contains both poles. 
627,unit,"Note to entry: In this International Standard, the subtypes of units are length units, angular units, time units, scale units and pixel spacing units."
629,vertical datum,"Note to entry: In most cases, the vertical datum will be related to mean sea level. Ellipsoidal heights are treated as related to a three-dimensional ellipsoidal coordinate system referenced to a geodetic datum. Vertical datums include sounding datums (used for hydrographic purposes), in which case the heights may be negative heights or depths. "
632,data quality basic measure,Note to entry: Data quality basic measures are abstract data types. They cannot be used directly when reporting data quality.
639,resolution (of a sensor),"Note to entry: For imagery, resolution refers to radiometric, spectral, spatial and temporal resolutions."
640,scene,Note to entry: A scene may correspond to a remotely sensed view of the natural world or to a computer-generated virtual scene simulating such a view
645,prism (one parameter set of geometries),Note to entry: This is a generalization of the concept of a geometric prism that is the convex hull of two congruent polygons in 3D-space. Such polyhedrons can be viewed as a foliation of congruent polygons.
646,trajectory,Note to entry: This is a generalization of the concept of a geometric prism that is the convex hull of two congruent polygons in 3D-space. Such polyhedrons can be viewed as a foliation of congruent polygons.
656,active object,"Note to entry: cf. passive object. An active object can represent a user, or an active service that depends on internal (and therefore not visible) triggers to start actions. Active and passive states can exist for the same object, and such a service can transition between these two states depending on invocation of an activation or deactivation operation protocol."
658,basic service,"Note to entry: cf. interoperate. Basic services lack any persistent, user-specific state information between invocations and are not meant for direct access by users. Because they act in a functional manner, they are readily replaceable at runtime by other services using the same interfaces."
659,continuous change,"Note to entry: The interpolation of continuous change is usually done by taking into consideration constraints on the ""curve"" joining the two data points (time1, value1) and (time2, value2), looking at the value as a function of time. For example, if the continuous change is for the motion of a vehicle, then the constraints of physics and of the paths appropriate for that vehicle must be taken into consideration."
660,coupling,"Note 1 to entry: Compare with integration. While the conceptual schema of the information transferred shall be agreed upon to some level, coupling applications can be and are usually flexible in the data representation of that information as long as the semantics content is correct and mappable to some canonical representation of the conceptual schema. The most common mapping technology used for XML messages is XSLT, and the transformation stylesheet can be supplied either by the service broker or by the service provider. It is considered a best practice for a service provider to supply his functionality through several logically equivalent messaging APIs, each represented by a different URI linked to an XSLT transformation bridge, and implemented by the same internal code."
662,discrete change,"Note to entry: Legal changes of parcel changes are discrete, having occurred at a specific time."
663,discrete spatiotemporal object,Note to entry: See Theodoridis - 1999
664,distance measure,"Note to entry: A measure ""d"" is positive if d(x, y) > 0 for every x, y where x/=y and d(x,x) = 0. A measure ""d"" is symmetric if d(x, y) = d(y, x) for every x, y. A measure ""d"" satisfies the triangular inequality if d(x, y) <= d(x, a) + d(a, y) for every a, x and y. All numeric or vector valued attributes have such a metric, the most common being the Euclidean metric based on the square root of the sum of the squares of the differences in each dimension. Other non-Euclidean metrics take ""curvature of space"" into account (such as along the surface of the spheroid). "
665,distance metric,"Note to entry: A measure ""d"" is positive if d(x, y) > 0 for every x, y where x/=y and d(x,x) = 0. A measure ""d"" is symmetric if d(x, y) = d(y, x) for every x, y. A measure ""d"" satisfies the triangular inequality if d(x, y) <= d(x, a) + d(a, y) for every a, x and y. All numeric or vector valued attributes have such a metric, the most common being the Euclidean metric based on the square root of the sum of the squares of the differences in each dimension. Other non-Euclidean metrics take ""curvature of space"" into account (such as along the surface of the spheroid)."
667,identity,"Note to entry: An identity is usually a persistent and constant key member attribute value of the object. Since it is temporally constant and unique, it will be the same in any state associated to the object regardless of its timestamp. A moving object's identity is independent of both time and location."
668,integration,Note to entry: cf. coupling. Integration and coupling are the two major mechanisms for the interoperation of systems.
669,interoperate,Note to entry: cf. interoperability
672,loosely coupled interface,Note to entry: cf. coupling
677,passive object,"Note to entry: A passive object is usually accessed through an external interface, through which it receives requests, processes those requests and returns data as a response to that request. Since objects can implement more than one type, it is possible for a single object to pass through active and passive states. For example, a tracking service can lie dormant until a tracking request activates a period where the internals of the object initiate tracking activities based on internal triggers as specified within the request. When the tracking request is deactivated, the object may return to a passive state."
684,service oriented architecture,"Note to entry: The most common SOAs in use today are Web services (using SOAP, UDDI, and WSDL), CORBA and DCOM."
685,spacestamp,Note to entry: See timestamp.
686,state (of an object),Note to entry: State is usually associated to an object by its identity and to a time by a timestamp.
687,target,"Note to entry: There is little logical difference between traveller and target except that the former is normally used for a moving object which is being tracked, and the latter is used for either an object that is not moving, or an object for which a location is needed only once. A traveller is the subject of a tracking service; a target is the subject of a locating service. Since this International Standard does not make a distinction between the protocols for these logically similar services, but does need to differentiate between the two concepts, both terms will be used as appropriate to the underlying semantics of the situation. Since all of these terms refer to entities represented by objects within the system, they can be combined with adjectives defined for objects. So, an active target (a target represented by an active object) can be used to represent a moving object, since the act of motion is modifying the target's internal state and is therefore initiating actions."
688,temporal sequence,"Note to entry: Temporal sequences are not assumed to be evenly spaced in time, nor equidistance in space. For discrete change, the default logic is to sample at temporal points of change if possible, so that the timestamp is the first temporal instance where the attributes listed have taken on that combination of values. For sake of space savings, some samples in a sequence only list those values that have changed since the immediately preceding temporal sample. For this reason, a sample should only be considered in the context of its containing sequence. For rigid motions (such as vehicle tracking), only centroid (a point value) and orientation (direction of travel) are needed for a temporal sequence describing location and spatial extent. A motion in combination with an object deformation would require more information."
690,tracking device,"Note 1 to entry: The most common tracking devices are cell phones, GNSS chips, RFID (Radio Frequency ID) tags, or printed tags which are scanable by optical sensors such as ""bar codes""."
690,tracking device,"Note 2 to entry: The common usage of ""vehicle"" means a ""form of conveyance"" or, more simply ""thing that conveys (carries) something else"". Thus, a tracked object that carries a tracking device to allow it to be tracked is, by definition, a conveyance or vehicle for that device. Thus, a cell phone that carries a GNSS device is the vehicle for that device, and the traveller carrying the cell phone, allowing him to be tracked, is the vehicle for the phone and all of its internal electronics."
691,user,Note to entry: Users are usually objects that act as proxies for people accessing the functionality of the system.
697,schema document (XML Schema),"Note to entry: The W3C XML Schema provides an XML interchange format for schema information. A single schema document provides descriptions of components associated with a single XML namespace, but several documents may describe components in the same schema, i.e. the same target namespace."
702,compound coordinate reference system,Note to entry: Coordinate reference systems are independent of each other if coordinate values in one cannot be converted or transformed into coordinate values in the other.
703,coordinate reference system,"Note to entry: For geodetic and vertical datums, the object will be the Earth."
711,meridian,Note to entry: This term is often used for the pole-to-pole arc rather than the complete closed figure. 
713,spherical coordinate system,Note to entry: Not to be confused with an ellipsoidal coordinate system based on an ellipsoid 'degenerated' into a sphere.
717,base representation (moving features),"Note 1 to entry: A rigid geometric object may undergo translation or rotation, but remains congruent with its base representation."
717,base representation (moving features),"Note 2 to entry: The local origin and ordinate vectors establish an engineering coordinate reference system (ISO 19111), also called a local frame or a local Euclidean coordinate system."
724,component (UML),"Note to entry: A component represents a physical piece of implementation of a system, including software code (source, binary or executable) or equivalents such as scripts or command files."
725,composition (UML),"Note to entry: Parts with non-fixed multiplicity may be created after the composite itself, but once created they live and die with it (i.e., they share lifetimes). Such parts can also be explicitly removed before the death of the composite. Composition may be recursive. Synonym: composite aggregation."
726,generalization (UML),Note to entry: An instance of the more specific element may be used where the more general element is allowed. See: inheritance.
727,instance (UML),Note to entry: See: object.
728,type (UML),Note to entry: A type may have attributes and associations.
735,coordinate tuple,Note to entry: The number of coordinates in the coordinate tuple equals the dimension of the coordinate system; the order of coordinates in the coordinate tuple is identical to the order of the axes of the coordinate system. 
744,traveller,"Note to entry: Includes pedestrians. See ISO 14825. In this International Standard, traveller can be replaced by vehicle without any change of intent."
745,vehicle,"Note to entry: Includes pedestrians. See ISO 14825. In this International Standard, vehicle can be replaced by traveller without any change of intent."
746,version (temporal),Note to entry: Temporal versions differ from samples in that a complete description is required. In this sense a version is a complete sample able to be considered outside the domain of the temporal sequence to which it may belong.
756,graph,"Note to entry: In geographic information systems, a graph can have more than one edge joining two nodes, and can have an edge that has the same node at both ends."
762,coordinate conversion,Note to entry: A coordinate conversion uses parameters which have specified values that are not determined empirically.
763,coordinate transformation,Note to entry: A coordinate transformation uses parameters which are derived empirically by a set of points with known coordinates in both coordinate reference systems.
793,geographic imagery scene,Note to entry: A geographic imagery scene is a representation of an environmental landscape; it may correspond to a remotely sensed view of the natural world or to a computer-generated virtual scene simulating such a view
795,orthoimage,Note to entry: The amount of displacement depends on the resolution and the level of detail of the elevation information and on the software implementation.
800,transfer unit,Note to entry: A transfer unit does not have to be identifiable like a dataset.
813,legend,Note to entry: Taken from FAO LCCS version 2 (see Reference [2] in ISO 19144-1:2009).
815,a posteriori classification,Note 1 to entry: Taken from FAO LCCS version 2 (see Reference [2] in ISO 19144-1)
815,a posteriori classification,Note 2 to entry: See Annex B [of ISO 19144-1] for an examination of this and a priori classification
816,a priori classification,Note 1 to entry: Taken from FAO LCCS version 2 (see Reference [2] in ISO 19144-1)
816,a priori classification,Note 2 to entry: The approach is based upon definition of classes before any data collection actually takes place
816,a priori classification,Note 3 to entry: See Annex B [of ISO 19144-1] for an examination of this and a posteriori classification
819,land cover,Note to entry: Land cover is distinct from land use.
840,polymorphism,Note to entry: There are several different kinds of polymorphism
843,parametric datum,Note to entry: The object is normally the Earth.
844,spatio-parametric coordinate system,"Note to entry: Normally the spatial component is ""horizontal"" and the parametric component is ""vertical""."
850,classifier,Note to entry: Classifiers can be defined algorithmically or according to a set of classification system specific rules.
851,compound registry,Note to entry: The common characteristic may be a shared namespace for the assignment of names and/or codes.
860,imagery,"Note to entry: In this Technical Specification, it is assumed that the phenomena have been sensed or detected by one or more devices such as radar, cameras, photometers, and infrared and multispectral scanners"
861,legend class,"Note to entry: The result of a classification process is termed legend class in this part of ISO 19144 in order to avoid confusion with the term ""class"" as used in UML modelling."
863,nominal value,Note to entry: Many feature attributes take nominal rather than numerical values. The value domain of such an attribute is usually specified as an enumeration or a code list.
864,pass,"Note to entry: In this part of ISO 19115, the measuring system will usually be a remote sensing platform. In a navigation context, the measuring system might be a GPS satellite."
865,picture original,"Note to entry: Picture originals could be obtained from printed maps, printed pictures of a geographic imagery scene, or drawings of geographic information, etc."
866,picture portrayal,Note to entry: Picture portrayals are geared for visual display whether in hardcopy or softcopy.
873,associative concept system,Note 1 to entry: Adapted from ISO 12620:1999.
873,associative concept system,"Note 2 to entry: An associative relation exists between the concepts ""education"" and ""teaching"", ""baking"" and ""oven""."
875,characteristic,Note to entry: Characteristics are used for describing concepts.
876,delimiting characteristic,"Note to entry: The delimiting characteristic support for the back may be used for distinguishing the concepts ""stool"" and ""chair""."
