dcterms:identifier,osgeo:termID,rdfs:label,osgeo:abbreviation,skos:prefLabel @en,skos:altLabel @en,rdf:type,rdf:type,osgeo:hasLDAPI,osgeo:jsonURI,osgeo:hasLDAPI,osgeo:jsonldURI,osgeo:hasLDAPI,osgeo:rdfxmlURI,osgeo:hasLDAPI,osgeo:rdfxmlURI2,skos:inScheme,osgeo:hasInfo,osgeo:hasReview,skos:definition @en,osgeo-lang:eng-note,osgeo-lang:eng-note,osgeo-lang:eng-note,osgeo:hasSource,osgeo:example @en,osgeo:hasOrigin @anyURI,osgeo:hasOrigin,osgeo:classification,skos:notation
11,osgeo-concept:c11,American Society for Photogrammetry and Remote Sensing,ASPRS,American Society for Photogrammetry and Remote Sensing,,skos:Concept,owl:NamedIndividual,ldapi11-json,https://osgeo.geolexica.org/api/ldapi/11.json,ldapi11-jsonld,https://osgeo.geolexica.org/api/ldapi/11.jsonld,ldapi11-rdfxml,https://osgeo.geolexica.org/api/ldapi/11.rdf,ldapi11-skosrdf,https://osgeo.geolexica.org/api/ldapi/11.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info11,osgeo-review:Review11,Definition not provided in this language.,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,11
12,osgeo-concept:c12,American Standard Code for Information Interchange,ASCII,American Standard Code for Information Interchange,,skos:Concept,owl:NamedIndividual,ldapi12-json,https://osgeo.geolexica.org/api/ldapi/12.json,ldapi12-jsonld,https://osgeo.geolexica.org/api/ldapi/12.jsonld,ldapi12-rdfxml,https://osgeo.geolexica.org/api/ldapi/12.rdf,ldapi12-skosrdf,https://osgeo.geolexica.org/api/ldapi/12.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info12,osgeo-review:Review12,Definition not provided in this language.,,,,https://www.opengeospatial.org/acronyms,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,12
13,osgeo-concept:c13,Anti-Grain Geometry,AGG,Anti-Grain Geometry,,skos:Concept,owl:NamedIndividual,ldapi13-json,https://osgeo.geolexica.org/api/ldapi/13.json,ldapi13-jsonld,https://osgeo.geolexica.org/api/ldapi/13.jsonld,ldapi13-rdfxml,https://osgeo.geolexica.org/api/ldapi/13.rdf,ldapi13-skosrdf,https://osgeo.geolexica.org/api/ldapi/13.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info13,osgeo-review:Review13,"graphic rendering engine, supporting sub-pixel anti-aliasing, for MapServer 5.0 or greater",,,,https://mapserver.org/glossary.html,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,13
14,osgeo-concept:c14,Application Programming Interface,API,Application Programming Interface,,skos:Concept,owl:NamedIndividual,ldapi14-json,https://osgeo.geolexica.org/api/ldapi/14.json,ldapi14-jsonld,https://osgeo.geolexica.org/api/ldapi/14.jsonld,ldapi14-rdfxml,https://osgeo.geolexica.org/api/ldapi/14.rdf,ldapi14-skosrdf,https://osgeo.geolexica.org/api/ldapi/14.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info14,osgeo-review:Review14,"set of routines, procedures, protocols, and tools for building software applications",,,,https://www.opengeospatial.org/acronyms,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,14
15,osgeo-concept:c15,Architecture Domain Working Group,Arch DWG,Architecture Domain Working Group,,skos:Concept,owl:NamedIndividual,ldapi15-json,https://osgeo.geolexica.org/api/ldapi/15.json,ldapi15-jsonld,https://osgeo.geolexica.org/api/ldapi/15.jsonld,ldapi15-rdfxml,https://osgeo.geolexica.org/api/ldapi/15.rdf,ldapi15-skosrdf,https://osgeo.geolexica.org/api/ldapi/15.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info15,osgeo-review:Review15,Definition not provided in this language.,,,,https://www.opengeospatial.org/acronyms,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,15
16,osgeo-concept:c16,"Architecture, Engineering, Construction, Owner and Operator",AECOO,"Architecture, Engineering, Construction, Owner and Operator",,skos:Concept,owl:NamedIndividual,ldapi16-json,https://osgeo.geolexica.org/api/ldapi/16.json,ldapi16-jsonld,https://osgeo.geolexica.org/api/ldapi/16.jsonld,ldapi16-rdfxml,https://osgeo.geolexica.org/api/ldapi/16.rdf,ldapi16-skosrdf,https://osgeo.geolexica.org/api/ldapi/16.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info16,osgeo-review:Review16,Definition not provided in this language.,,,,https://www.opengeospatial.org/acronyms,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,16
17,osgeo-concept:c17,Association of American Geographers,AAG,Association of American Geographers,,skos:Concept,owl:NamedIndividual,ldapi17-json,https://osgeo.geolexica.org/api/ldapi/17.json,ldapi17-jsonld,https://osgeo.geolexica.org/api/ldapi/17.jsonld,ldapi17-rdfxml,https://osgeo.geolexica.org/api/ldapi/17.rdf,ldapi17-skosrdf,https://osgeo.geolexica.org/api/ldapi/17.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info17,osgeo-review:Review17,Definition not provided in this language.,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,17
18,osgeo-concept:c18,Association of Geographic Information Laboratories in Europe,AGILE,Association of Geographic Information Laboratories in Europe,,skos:Concept,owl:NamedIndividual,ldapi18-json,https://osgeo.geolexica.org/api/ldapi/18.json,ldapi18-jsonld,https://osgeo.geolexica.org/api/ldapi/18.jsonld,ldapi18-rdfxml,https://osgeo.geolexica.org/api/ldapi/18.rdf,ldapi18-skosrdf,https://osgeo.geolexica.org/api/ldapi/18.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info18,osgeo-review:Review18,Definition not provided in this language.,,,,https://www.opengeospatial.org/acronyms,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,18
19,osgeo-concept:c19,Augmented Reality Markup Language,ARML,Augmented Reality Markup Language,,skos:Concept,owl:NamedIndividual,ldapi19-json,https://osgeo.geolexica.org/api/ldapi/19.json,ldapi19-jsonld,https://osgeo.geolexica.org/api/ldapi/19.jsonld,ldapi19-rdfxml,https://osgeo.geolexica.org/api/ldapi/19.rdf,ldapi19-skosrdf,https://osgeo.geolexica.org/api/ldapi/19.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info19,osgeo-review:Review19,Definition not provided in this language.,,,,https://www.opengeospatial.org/acronyms,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,19
20,osgeo-concept:c20,Australian and New Zealand Land Information Council,ANZLIC,Australian and New Zealand Land Information Council,,skos:Concept,owl:NamedIndividual,ldapi20-json,https://osgeo.geolexica.org/api/ldapi/20.json,ldapi20-jsonld,https://osgeo.geolexica.org/api/ldapi/20.jsonld,ldapi20-rdfxml,https://osgeo.geolexica.org/api/ldapi/20.rdf,ldapi20-skosrdf,https://osgeo.geolexica.org/api/ldapi/20.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info20,osgeo-review:Review20,organization charged with development of SDI in Australia and New Zealand,,,,https://joinup.ec.europa.eu/sites/default/files/document/2011-12/gvsig-1_0-man-v1-en_01.pdf,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,20
21,osgeo-concept:c21,Australian Urban Research Infrastructure Network,AURIN,Australian Urban Research Infrastructure Network,,skos:Concept,owl:NamedIndividual,ldapi21-json,https://osgeo.geolexica.org/api/ldapi/21.json,ldapi21-jsonld,https://osgeo.geolexica.org/api/ldapi/21.jsonld,ldapi21-rdfxml,https://osgeo.geolexica.org/api/ldapi/21.rdf,ldapi21-skosrdf,https://osgeo.geolexica.org/api/ldapi/21.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info21,osgeo-review:Review21,Definition not provided in this language.,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,21
22,osgeo-concept:c22,Authentication Interoperability Experiment,AUTH ie,Authentication Interoperability Experiment,,skos:Concept,owl:NamedIndividual,ldapi22-json,https://osgeo.geolexica.org/api/ldapi/22.json,ldapi22-jsonld,https://osgeo.geolexica.org/api/ldapi/22.jsonld,ldapi22-rdfxml,https://osgeo.geolexica.org/api/ldapi/22.rdf,ldapi22-skosrdf,https://osgeo.geolexica.org/api/ldapi/22.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info22,osgeo-review:Review22,Definition not provided in this language.,,,,https://www.opengeospatial.org/acronyms,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,22
23,osgeo-concept:c23,Automated Mapping/Facilities Management,AM/FM,Automated Mapping/Facilities Management,,skos:Concept,owl:NamedIndividual,ldapi23-json,https://osgeo.geolexica.org/api/ldapi/23.json,ldapi23-jsonld,https://osgeo.geolexica.org/api/ldapi/23.jsonld,ldapi23-rdfxml,https://osgeo.geolexica.org/api/ldapi/23.rdf,ldapi23-skosrdf,https://osgeo.geolexica.org/api/ldapi/23.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info23,osgeo-review:Review23,Definition not provided in this language.,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,23
24,osgeo-concept:c24,band,,band,,skos:Concept,owl:NamedIndividual,ldapi24-json,https://osgeo.geolexica.org/api/ldapi/24.json,ldapi24-jsonld,https://osgeo.geolexica.org/api/ldapi/24.jsonld,ldapi24-rdfxml,https://osgeo.geolexica.org/api/ldapi/24.rdf,ldapi24-skosrdf,https://osgeo.geolexica.org/api/ldapi/24.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info24,osgeo-review:Review24,frequency interval from the electromagnetic spectrum,,,,https://joinup.ec.europa.eu/sites/default/files/document/2011-12/gvsig-1_0-man-v1-en_01.pdf,EXAMPLE: The first band of the TM sensor is defined in the range of 0.45­.052 mm,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,24
25,osgeo-concept:c25,Best Practice,BP,Best Practice,,skos:Concept,owl:NamedIndividual,ldapi25-json,https://osgeo.geolexica.org/api/ldapi/25.json,ldapi25-jsonld,https://osgeo.geolexica.org/api/ldapi/25.jsonld,ldapi25-rdfxml,https://osgeo.geolexica.org/api/ldapi/25.rdf,ldapi25-skosrdf,https://osgeo.geolexica.org/api/ldapi/25.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info25,osgeo-review:Review25,Definition not provided in this language.,,,,https://www.opengeospatial.org/acronyms,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,25
26,osgeo-concept:c26,Binding XML to Java,JiBX,Binding XML to Java,,skos:Concept,owl:NamedIndividual,ldapi26-json,https://osgeo.geolexica.org/api/ldapi/26.json,ldapi26-jsonld,https://osgeo.geolexica.org/api/ldapi/26.jsonld,ldapi26-rdfxml,https://osgeo.geolexica.org/api/ldapi/26.rdf,ldapi26-skosrdf,https://osgeo.geolexica.org/api/ldapi/26.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info26,osgeo-review:Review26,open-source Java framework for XML data binding,,,,https://geonetwork-opensource.org/manuals/2.10.4/eng/users/glossary.html,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,26
27,osgeo-concept:c27,Biotechnology and Biological Sciences Research Council,BBSRC,Biotechnology and Biological Sciences Research Council,,skos:Concept,owl:NamedIndividual,ldapi27-json,https://osgeo.geolexica.org/api/ldapi/27.json,ldapi27-jsonld,https://osgeo.geolexica.org/api/ldapi/27.jsonld,ldapi27-rdfxml,https://osgeo.geolexica.org/api/ldapi/27.rdf,ldapi27-skosrdf,https://osgeo.geolexica.org/api/ldapi/27.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info27,osgeo-review:Review27,Definition not provided in this language.,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,27
28,osgeo-concept:c28,Bit Map Picture,BMP,Bit Map Picture,,skos:Concept,owl:NamedIndividual,ldapi28-json,https://osgeo.geolexica.org/api/ldapi/28.json,ldapi28-jsonld,https://osgeo.geolexica.org/api/ldapi/28.jsonld,ldapi28-rdfxml,https://osgeo.geolexica.org/api/ldapi/28.rdf,ldapi28-skosrdf,https://osgeo.geolexica.org/api/ldapi/28.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info28,osgeo-review:Review28,uncompressed image format developed by Microsoft,"Note to entry:  BMP is simple and pretty normalized; it is a excellent format for sharing data and fast when analyzing and processing images. However, since it is not compressed it does not improve the transmission and disk accessing times. BMP is often used with RGB 24 bits.",,,https://joinup.ec.europa.eu/sites/default/files/document/2011-12/gvsig-1_0-man-v1-en_01.pdf,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,28
29,osgeo-concept:c29,Building Information Modelling,BIM,Building Information Modelling,,skos:Concept,owl:NamedIndividual,ldapi29-json,https://osgeo.geolexica.org/api/ldapi/29.json,ldapi29-jsonld,https://osgeo.geolexica.org/api/ldapi/29.jsonld,ldapi29-rdfxml,https://osgeo.geolexica.org/api/ldapi/29.rdf,ldapi29-skosrdf,https://osgeo.geolexica.org/api/ldapi/29.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info29,osgeo-review:Review29,Definition not provided in this language.,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,29
30,osgeo-concept:c30,Canadian Geospatial Data Infrastructure,CGDI,Canadian Geospatial Data Infrastructure,,skos:Concept,owl:NamedIndividual,ldapi30-json,https://osgeo.geolexica.org/api/ldapi/30.json,ldapi30-jsonld,https://osgeo.geolexica.org/api/ldapi/30.jsonld,ldapi30-rdfxml,https://osgeo.geolexica.org/api/ldapi/30.rdf,ldapi30-skosrdf,https://osgeo.geolexica.org/api/ldapi/30.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info30,osgeo-review:Review30,Definition not provided in this language.,,,,https://www.opengeospatial.org/acronyms,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,30
31,osgeo-concept:c31,Canadian Space Agency,CSA,Canadian Space Agency,,skos:Concept,owl:NamedIndividual,ldapi31-json,https://osgeo.geolexica.org/api/ldapi/31.json,ldapi31-jsonld,https://osgeo.geolexica.org/api/ldapi/31.jsonld,ldapi31-rdfxml,https://osgeo.geolexica.org/api/ldapi/31.rdf,ldapi31-skosrdf,https://osgeo.geolexica.org/api/ldapi/31.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info31,osgeo-review:Review31,Definition not provided in this language.,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,31
32,osgeo-concept:c32,Cartograhy and Geographic Information Society,CaGIS,Cartograhy and Geographic Information Society,,skos:Concept,owl:NamedIndividual,ldapi32-json,https://osgeo.geolexica.org/api/ldapi/32.json,ldapi32-jsonld,https://osgeo.geolexica.org/api/ldapi/32.jsonld,ldapi32-rdfxml,https://osgeo.geolexica.org/api/ldapi/32.rdf,ldapi32-skosrdf,https://osgeo.geolexica.org/api/ldapi/32.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info32,osgeo-review:Review32,Definition not provided in this language.,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,32
33,osgeo-concept:c33,cartography,,cartography,,skos:Concept,owl:NamedIndividual,ldapi33-json,https://osgeo.geolexica.org/api/ldapi/33.json,ldapi33-jsonld,https://osgeo.geolexica.org/api/ldapi/33.jsonld,ldapi33-rdfxml,https://osgeo.geolexica.org/api/ldapi/33.rdf,ldapi33-skosrdf,https://osgeo.geolexica.org/api/ldapi/33.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info33,osgeo-review:Review33,"set of operations and processes that take part in the creation, edition and analysis of maps.",,,,,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,33
34,osgeo-concept:c34,Catalog Service for the Web,CSW,Catalog Service for the Web,,skos:Concept,owl:NamedIndividual,ldapi34-json,https://osgeo.geolexica.org/api/ldapi/34.json,ldapi34-jsonld,https://osgeo.geolexica.org/api/ldapi/34.jsonld,ldapi34-rdfxml,https://osgeo.geolexica.org/api/ldapi/34.rdf,ldapi34-skosrdf,https://osgeo.geolexica.org/api/ldapi/34.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info34,osgeo-review:Review34,"service defined by OGC Catalog Service Interface Standard for the Web in order to provide common interfaces to discover, browse, and query metadata about data, services, and other potential resources",,,,https://geonetwork-opensource.org/manuals/2.10.4/eng/users/glossary.html,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,34
35,osgeo-concept:c35,catalogue service,,catalogue service,,skos:Concept,owl:NamedIndividual,ldapi35-json,https://osgeo.geolexica.org/api/ldapi/35.json,ldapi35-jsonld,https://osgeo.geolexica.org/api/ldapi/35.jsonld,ldapi35-rdfxml,https://osgeo.geolexica.org/api/ldapi/35.rdf,ldapi35-skosrdf,https://osgeo.geolexica.org/api/ldapi/35.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info35,osgeo-review:Review35,"allows the publication and searching of information (metadata) describing data (cartography), services, applications and any other kind of resources. The catalogue services are necessary to supply search and invocation capabilities over registered resources within an SDI. A Open Geospatial Consortium spec establishes how a Catalogue Service must be standard and interoperable.",,,,,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,35
36,osgeo-concept:c36,CatMDEdit,CatMDEdit,CatMDEdit,,skos:Concept,owl:NamedIndividual,ldapi36-json,https://osgeo.geolexica.org/api/ldapi/36.json,ldapi36-jsonld,https://osgeo.geolexica.org/api/ldapi/36.jsonld,ldapi36-rdfxml,https://osgeo.geolexica.org/api/ldapi/36.rdf,ldapi36-skosrdf,https://osgeo.geolexica.org/api/ldapi/36.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info36,osgeo-review:Review36,open-source computer application for creating and editing geographic metadata based upon the ISO 19115:2003 standard,Note to entry:  It is a multiplatform (Windows / UNIX) and multilingual (Spanish and English) application.,,,https://joinup.ec.europa.eu/sites/default/files/document/2011-12/gvsig-1_0-man-v1-en_01.pdf,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,36
37,osgeo-concept:c37,CEN TC 287,CEN TC 287,CEN TC 287,,skos:Concept,owl:NamedIndividual,ldapi37-json,https://osgeo.geolexica.org/api/ldapi/37.json,ldapi37-jsonld,https://osgeo.geolexica.org/api/ldapi/37.jsonld,ldapi37-rdfxml,https://osgeo.geolexica.org/api/ldapi/37.rdf,ldapi37-skosrdf,https://osgeo.geolexica.org/api/ldapi/37.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info37,osgeo-review:Review37,CEN Technical Committee of Geographic Information,,,,https://joinup.ec.europa.eu/sites/default/files/document/2011-12/gvsig-1_0-man-v1-en_01.pdf,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,37
38,osgeo-concept:c38,Census Research Centre,CRC,Census Research Centre,,skos:Concept,owl:NamedIndividual,ldapi38-json,https://osgeo.geolexica.org/api/ldapi/38.json,ldapi38-jsonld,https://osgeo.geolexica.org/api/ldapi/38.jsonld,ldapi38-rdfxml,https://osgeo.geolexica.org/api/ldapi/38.rdf,ldapi38-skosrdf,https://osgeo.geolexica.org/api/ldapi/38.ttl,osgeo:OSGeoConceptScheme,osgeo-info:Info38,osgeo-review:Review38,Definition not provided in this language.,,,,https://www.osgeo.org/initiatives/geo-for-all/geo-newsletters-archive/,,https://osgeo.geolexica.org/registers/#language-eng,osgeo-lang:engRegistry,preferred,38
